module_id	value_scale	cerebellar_granule_minus_purkinje	cerebellar_bootstrap_95ci_low	cerebellar_bootstrap_95ci_high	dentate_granule_minus_mean_ca1_ca3	dentate_bootstrap_95ci_low	dentate_bootstrap_95ci_high	dentate_granule_minus_ca1	dentate_ca1_bootstrap_95ci_low	dentate_ca1_bootstrap_95ci_high	dentate_positive_vs_ca1	dentate_granule_minus_ca3	dentate_ca3_bootstrap_95ci_low	dentate_ca3_bootstrap_95ci_high	dentate_positive_vs_ca3	positive_against_both_hippocampal_comparators	shared_minimum_local_delta	shared_minimum_bootstrap_95ci_low	shared_minimum_bootstrap_95ci_high	bootstrap_fraction_both_positive	both_local_deltas_positive	n_cb_granule_libraries	n_purkinje_libraries	n_dg_granule_libraries	n_ca1_libraries	n_ca3_libraries	module_label	module_family
cerebellar_fate_rhombic_lip_shh	mean curated-gene z score	0.7572941967747459	0.6825741944793937	0.8248664585691928	0.03494779129095266	0.009008280953127615	0.06092850249135143	0.0451311244950493	0.011679035660897688	0.07590436288505617	True	0.02476445808685601	-0.007472491298944471	0.05264738155970965	True	True	0.03494779129095266	0.009008280953127615	0.06092850249135143	0.9945	True	121	63	29	49	20	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate
dentate_fate_wnt_prox1	mean curated-gene z score	0.22635714306302265	0.19441971886001452	0.2579121730959252	0.49508568160328187	0.45791301593615386	0.5345678042611092	0.4768951549909075	0.42638577696074964	0.527236621392532	True	0.5132762082156562	0.47495360890494687	0.552644035016216	True	True	0.22635714306302265	0.19441971886001452	0.2579121730959252	1.0	True	121	63	29	49	20	Dentate fate/WNT/PROX1	upstream_region_fate
shared_neurogenic_niche_state	mean curated-gene z score	-0.42519528844415283	-0.4610797382845613	-0.3896582696149314	0.014628265650523574	-0.04602011708889394	0.07388520576009282	0.03436347512320756	-0.03997818476294442	0.1084167026770654	True	-0.005106943822160419	-0.07845082128239723	0.06159427940436872	False	False	-0.42519528844415283	-0.4610797382845613	-0.3896582696149314	0.0	False	121	63	29	49	20	Shared neurogenic niche/progenitor state	shared_niche_state
downstream_neurite_morphology	mean curated-gene z score	0.03908306149701257	-0.004543387169563251	0.0844792128062626	-0.38328876033654324	-0.4442758488170384	-0.31907552217929536	-0.34906923061392836	-0.4232556455213265	-0.2748055253078075	False	-0.4175082900591581	-0.47759741831601277	-0.3565232062857943	False	False	-0.38328876033654324	-0.4442758488170384	-0.31907552217929536	0.0	False	121	63	29	49	20	Downstream neurite/morphology	downstream_circuit_morphology
downstream_synaptic_excitability	mean curated-gene z score	0.6373658305881558	0.5972009729233995	0.6773821093983505	0.13788987231118566	0.10722717186871787	0.16878948474259792	0.21155884104246758	0.1832706773408113	0.23950374764165955	True	0.06422090357990373	0.021927807074223683	0.10722635379036552	True	True	0.13788987231118566	0.10722717186871787	0.16878948474259792	1.0	True	121	63	29	49	20	Downstream synaptic/excitability	downstream_circuit_morphology
