left_population	right_population	pair_class	gene_set	n_genes	n_left_libraries	n_right_libraries	spearman_similarity	nested_bootstrap_95ci_low	nested_bootstrap_95ci_high	upstream_similarity	downstream_minus_upstream_similarity
Cerebellar granule	Olfactory-bulb GABA, mature proxy	granule-named proxy	upstream fate/niche	48	121	24	-0.06133304385584021	-0.36804110298448467	0.2828681950718489	-0.06133304385584021	
Cerebellar granule	Olfactory-bulb GABA, mature proxy	granule-named proxy	downstream assembly	41	121	24	0.016027874564459935	-0.29661353795786444	0.31795311334664	-0.06133304385584021	0.07736091842030014
Cerebellar granule	Olfactory-bulb GABA, mature proxy	granule-named proxy	Tier 1 candidates	6	121	24	-0.942857142857143	-1.0	-0.5151515151515151	-0.06133304385584021	
Cerebellar granule	Olfactory-bulb GABA, mature proxy	granule-named proxy	Tier 1+2 candidates	15	121	24	-0.5678571428571427	-0.7971187659846549	-0.1557870002384549	-0.06133304385584021	
Dentate granule, mature	Olfactory-bulb GABA, mature proxy	granule-named proxy	all curated modules	89	29	24	0.05342185903983658	-0.172609445503654	0.29186832811481916	-0.12092922275293096	
Dentate granule, mature	Olfactory-bulb GABA, mature proxy	granule-named proxy	upstream fate/niche	48	29	24	-0.12092922275293096	-0.4166071831886819	0.20225778538195524	-0.12092922275293096	
Dentate granule, mature	Olfactory-bulb GABA, mature proxy	granule-named proxy	downstream assembly	41	29	24	0.10017421602787457	-0.2501946859620904	0.46644803503067633	-0.12092922275293096	0.22110343878080552
Dentate granule, mature	Olfactory-bulb GABA, mature proxy	granule-named proxy	Tier 1 candidates	6	29	24	0.5428571428571429	-0.9999999999999999	1.0	-0.12092922275293096	
Dentate granule, mature	Olfactory-bulb GABA, mature proxy	granule-named proxy	Tier 1+2 candidates	15	29	24	-0.22142857142857136	-0.6483725135623869	0.27140925988509623	-0.12092922275293096	
Cerebellar granule	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	all curated modules	89	121	28	-0.10354102826012938	-0.3140428275690378	0.11680062121398521	-0.04114198871037777	
Cerebellar granule	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	upstream fate/niche	48	121	28	-0.04114198871037777	-0.3514255669597948	0.30344206943265944	-0.04114198871037777	
Cerebellar granule	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	downstream assembly	41	121	28	-0.3515679442508711	-0.609127073867529	-0.05655066322501396	-0.04114198871037777	-0.31042595554049335
Cerebellar granule	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	Tier 1 candidates	6	121	28	-0.3714285714285715	-1.0	0.8064516129032258	-0.04114198871037777	
Cerebellar granule	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	Tier 1+2 candidates	15	121	28	-0.557142857142857	-0.9018446697187704	-0.053933325003616986	-0.04114198871037777	
Dentate granule, mature	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	all curated modules	89	29	28	-0.1725910793326524	-0.35684144973278326	0.04310996813116642	-0.11300477637863655	
Dentate granule, mature	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	upstream fate/niche	48	29	28	-0.11300477637863655	-0.3845631786142188	0.19637647917231527	-0.11300477637863655	
Dentate granule, mature	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	downstream assembly	41	29	28	-0.0402439024390244	-0.3364809680413407	0.2820630339853239	-0.11300477637863655	0.07276087393961216
Dentate granule, mature	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	Tier 1 candidates	6	29	28	0.2	-1.0	1.0	-0.11300477637863655	
Dentate granule, mature	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	Tier 1+2 candidates	15	29	28	-0.05357142857142857	-0.6449539828625834	0.5673119235836626	-0.11300477637863655	
