canonical_gene	gene_symbol	manuscript_tier	mechanism_class	minimum_target_mean_log2	maximum_comparator_mean_log2	target_min_minus_comparator_max	strict_target_pair_specific	mean_log2_cerebellar_granule	mean_log2_dentate_granule_mature	mean_log2_dentate_granule_immature	mean_log2_purkinje	mean_log2_ca1_pros_pyramidal	mean_log2_ca3_pyramidal	mean_log2_cortical_l4_5_it_excitatory	mean_log2_olfactory_bulb_gaba_mature_proxy	mean_log2_olfactory_bulb_gaba_immature_proxy
GPM6A	Gpm6a	Tier 1 core convergent program	cytoskeleton_morphogenesis	8.047762212989552	9.369680865002296	-1.3219186520127444	False	8.047762212989552	9.285186324751772	8.299664475588516	5.412047815902302	9.369680865002296	8.925876090850057	8.925863114143382	8.132477919724986	7.84802536951693
NFIB	Nfib	Tier 1 core convergent program	regulatory_morphogenesis_candidate	8.362100848005447	11.55591947350508	-3.193818625499633	False	8.362100848005447	9.379668035714253	11.55591947350508	0.015320653035740699	8.769272894825589	9.242808134822466	4.650260223851731	2.8694313602340973	9.747082202968143
KCNK1	Kcnk1	Tier 1 core convergent program	synaptic_wiring	4.202782984842765	5.3106246405960285	-1.1078416557532638	False	4.202782984842765	4.789749997962011	5.3106246405960285	2.119769461203786	2.884327069539671	3.8182353039330765	3.0468825140410773	1.9199059376169993	0.43904134185650173
RFX3	Rfx3	Tier 1 core convergent program	regulatory_morphogenesis_candidate	3.420892627842519	8.383150974083073	-4.962258346240553	False	3.420892627842519	10.562645964511187	8.383150974083073	2.092749512650476	6.737708241155739	4.820171981676187	5.826096185504113	5.429374436636305	6.5903176484464625
GABRA2	Gabra2	Tier 1 core convergent program	synaptic_wiring	0.002820168694561437	8.903857424423714	-8.901037255729152	False	0.002820168694561437	8.873248371617624	6.092843571448454	0.04012759953796231	8.89659673714506	8.903857424423714	6.669022275881922	7.050216005092616	4.231904616588191
NFIA	Nfia	Tier 1 core convergent program	regulatory_morphogenesis_candidate	8.098672660143063	10.834233432652319	-2.735560772509256	False	8.098672660143063	8.650257619393363	10.834233432652319	0.6397783347797332	5.861071278302628	5.763726201461476	1.38499211747496	0.6176823467650074	4.309510851629877
ROBO2	Robo2	Tier 2 high-confidence wiring/synaptic executor	curated_shared_structural_executor	0.03830771539361432	11.003625609150813	-10.965317893757199	False	0.03830771539361432	8.94671024631015	1.709859619802898	8.029375685299703	8.122963999336417	9.094791979386358	8.796294501333007	8.185719851885379	11.003625609150813
GABRB3	Gabrb3	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	7.750551783428804	10.439978253802014	-2.68942647037321	False	7.750551783428804	10.376026230933709	8.272883167207022	6.312027907232585	10.38783224661816	10.439978253802014	9.599155766370036	10.108141351910144	7.8559769333985665
KCND2	Kcnd2	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	11.607263755686928	11.409035842844665	0.19822791284226327	True	13.660756461368852	11.607263755686928	4.363805828559984	8.610109796031335	11.409035842844665	10.571642952124837	10.780393028410927	11.218812954239594	5.885439872753786
PPP3CA	Ppp3ca	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	10.298852369410204	11.04630260008506	-0.7474502306748558	False	10.298852369410204	11.617445151416234	9.652888913285935	9.463221430583854	10.953931158919628	11.04630260008506	10.457012470822166	8.361784706403647	6.539966082313226
CACNA2D1	Cacna2d1	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	7.781356976420076	9.981914297321277	-2.2005573209012006	False	7.781356976420076	9.633944249846156	5.9464949797460145	0.033379204744269794	9.513712436147818	9.285870804604645	9.981914297321277	9.837996837587506	7.17562109217492
KCNJ6	Kcnj6	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	4.891017688048372	8.7286218299031	-3.8376041418547278	False	4.891017688048372	9.209299136664004	1.60105689670935	0.1409360879214261	8.201217948390056	8.7286218299031	8.065363042491663	4.986263151277306	0.36175401545974545
GRIN2B	Grin2b	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	0.014919024900864589	11.434925001322691	-11.420005976421827	False	0.014919024900864589	11.028956083818393	9.512189731214983	0.0071334107707786525	11.434925001322691	10.95699846224058	10.776319317646413	10.474344384806981	8.71760425675807
KCNJ3	Kcnj3	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	8.005224142239761	9.113052958524296	-1.1078288162845347	False	8.005224142239761	9.27960013587137	2.7574390773698205	7.4622297753497575	8.812181918955655	7.698007611979618	8.282368967023789	9.113052958524296	4.651994841510576
STXBP5L	Stxbp5l	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	9.267183075669156	9.674359582640832	-0.40717650697167684	False	9.900636393740498	9.267183075669156	5.923643694514488	2.899733567182453	9.42913652406018	9.674359582640832	9.17303055788897	8.571465235636309	3.3599859263780916
