canonical_gene	gene	human_symbol	mouse_symbol	db_class_key	branch_fdr10_support_full_matrix_cerebellar	branch_fdr10_support_full_matrix_dentate	branch_fdr10_support_selected_cerebellar	branch_fdr10_support_selected_dentate	branch_nominal_support_full_matrix_cerebellar	branch_nominal_support_full_matrix_dentate	branch_nominal_support_selected_cerebellar	branch_nominal_support_selected_dentate	branch_replication_support_full_matrix_cerebellar	branch_replication_support_full_matrix_dentate	branch_replication_support_selected_cerebellar	branch_replication_support_selected_dentate	dataset_best_nominal_p_greater_full_matrix_cerebellar	dataset_best_nominal_p_greater_full_matrix_dentate	dataset_best_nominal_p_greater_selected_cerebellar	dataset_best_nominal_p_greater_selected_dentate	dataset_best_nominal_q_bh_greater_full_matrix_cerebellar	dataset_best_nominal_q_bh_greater_full_matrix_dentate	dataset_best_nominal_q_bh_greater_selected_cerebellar	dataset_best_nominal_q_bh_greater_selected_dentate	dataset_best_q_bh_greater_full_matrix_cerebellar	dataset_best_q_bh_greater_full_matrix_dentate	dataset_best_q_bh_greater_selected_cerebellar	dataset_best_q_bh_greater_selected_dentate	dataset_sign_p_greater_full_matrix_cerebellar	dataset_sign_p_greater_full_matrix_dentate	dataset_sign_p_greater_selected_cerebellar	dataset_sign_p_greater_selected_dentate	dataset_sign_q_bh_greater_full_matrix_cerebellar	dataset_sign_q_bh_greater_full_matrix_dentate	dataset_sign_q_bh_greater_selected_cerebellar	dataset_sign_q_bh_greater_selected_dentate	dataset_t_p_greater_full_matrix_cerebellar	dataset_t_p_greater_full_matrix_dentate	dataset_t_p_greater_selected_cerebellar	dataset_t_p_greater_selected_dentate	dataset_t_q_bh_greater_full_matrix_cerebellar	dataset_t_q_bh_greater_full_matrix_dentate	dataset_t_q_bh_greater_selected_cerebellar	dataset_t_q_bh_greater_selected_dentate	dataset_wilcoxon_p_greater_full_matrix_cerebellar	dataset_wilcoxon_p_greater_full_matrix_dentate	dataset_wilcoxon_p_greater_selected_cerebellar	dataset_wilcoxon_p_greater_selected_dentate	dataset_wilcoxon_q_bh_greater_full_matrix_cerebellar	dataset_wilcoxon_q_bh_greater_full_matrix_dentate	dataset_wilcoxon_q_bh_greater_selected_cerebellar	dataset_wilcoxon_q_bh_greater_selected_dentate	mean_dataset_rank_delta_full_matrix_cerebellar	mean_dataset_rank_delta_full_matrix_dentate	mean_dataset_rank_delta_selected_cerebellar	mean_dataset_rank_delta_selected_dentate	median_dataset_candidate_detection_full_matrix_cerebellar	median_dataset_candidate_detection_full_matrix_dentate	median_dataset_candidate_detection_selected_cerebellar	median_dataset_candidate_detection_selected_dentate	median_dataset_detection_delta_full_matrix_cerebellar	median_dataset_detection_delta_full_matrix_dentate	median_dataset_detection_delta_selected_cerebellar	median_dataset_detection_delta_selected_dentate	median_dataset_mean_log1p_expression_delta_full_matrix_cerebellar	median_dataset_mean_log1p_expression_delta_full_matrix_dentate	median_dataset_mean_log1p_expression_delta_selected_cerebellar	median_dataset_mean_log1p_expression_delta_selected_dentate	median_dataset_rank_delta_full_matrix_cerebellar	median_dataset_rank_delta_full_matrix_dentate	median_dataset_rank_delta_selected_cerebellar	median_dataset_rank_delta_selected_dentate	min_dataset_rank_delta_full_matrix_cerebellar	min_dataset_rank_delta_full_matrix_dentate	min_dataset_rank_delta_selected_cerebellar	min_dataset_rank_delta_selected_dentate	n_datasets_full_matrix_cerebellar	n_datasets_full_matrix_dentate	n_datasets_selected_cerebellar	n_datasets_selected_dentate	n_units_full_matrix_cerebellar	n_units_full_matrix_dentate	n_units_selected_cerebellar	n_units_selected_dentate	positive_dataset_fraction_full_matrix_cerebellar	positive_dataset_fraction_full_matrix_dentate	positive_dataset_fraction_selected_cerebellar	positive_dataset_fraction_selected_dentate	formal_n_available_branches	formal_n_replication_branches	formal_n_nominal_branches	formal_n_fdr10_branches	formal_sum_positive_median_rank_delta	formal_min_candidate_detection	formal_replication_shared_selected	formal_replication_shared_full_matrix	formal_replication_shared_any_screen	formal_replication_shared_both_screens	formal_nominal_shared_selected	formal_nominal_shared_full_matrix	formal_nominal_shared_any_screen	formal_nominal_shared_both_screens	formal_fdr10_shared_selected	formal_fdr10_shared_full_matrix	formal_fdr10_shared_any_screen	formal_fdr10_shared_both_screens	formal_fisher_p_selected_shared	formal_fisher_p_full_matrix_shared	formal_fisher_p_all_available_branches	formal_fisher_q_bh_selected_shared	formal_fisher_q_bh_full_matrix_shared	formal_fisher_q_bh_all_available_branches	formal_rank_tier	formal_rank_priority_score	ortholog_meta_tier	ortholog_symbol_class	n_supported_screen_branches	n_strict_screen_branches	n_available_screen_branches	consensus_candidate_dataset_robust_all_available	consensus_candidate_n_robust_screen_branches	consensus_tier	combined_priority_score	selected_mechanism_class	selected_manuscript_use	genome_mechanism_class	genome_manuscript_use
ZNF827	ZNF827	ZNF827	Zfp827	51625126	False	False	False	False	True	True	False	True	True	True	False	True	0.125	0.19550110947788527	0.5	0.25	0.3498864209994952	0.41942132674430754	0.6843398876404494	0.2808553386911596	0.3498864209994952	0.41942132674430754	0.6843398876404494	0.2808553386911596	0.125	0.3125	0.5	0.25	0.9460304822565969	0.6637414095135427	1.0	0.40647658610271903		0.19550110947788527				0.42099348220497224			0.125	0.3125			0.5241573033707865	0.5446125084976207			0.5	0.25	0.5	0.5	0.13776731567188	0.2788572875958894	0.13776731567188	0.5870741719962693	0.0529747368885821	0.12036168398123084	0.0529747368885821	0.33871723037780505	0.0401064888245946	0.2051020523771026	0.0401064888245946	0.46813504372880294	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	0.5	3.0	4.0	1.0	2.0	6.0	4.0	1.0	47.0	1.0	0.75	1.0	1.0	4	3	3	0	2.0	0.13776731567188	False	True	True	False	False	True	True	False	False	False	False	False	0.3849301927099795	0.1151411302796435	0.1708437319818771	0.42943843479779625	0.3713336945085174	0.39078355203823006	formal_nominal_shared_full_matrix	11.13776731567188	supported_shared_full_matrix_only	nonidentical_symbol	3	2	4			screen_specific_or_low_priority	1.56888365783594	unclassified_shared_neuronal_or_context	not_prioritized	unclassified_shared_neuronal_or_context	not_prioritized
CMSS1	CMSS1	CMSS1	Cmss1	51628290	False	False	False	False	True	False	True	True	True	False	True	True	0.018874775675311855	0.33333333333333337	0.018874775675311855	0.10399999999999998	0.2418966820946169	0.572331154684096	0.3123397435897436	0.13532446808510637	0.19545135581807907	0.5553028275800553	0.25734411348717606	0.13532446808510637	0.125	0.5	0.125	0.1875	0.9460304822565969	0.9436063218390804	0.8891423357664233	0.3199106364428945	0.018874775675311855	0.33333333333333337	0.018874775675311855	0.10399999999999998	0.19545135581807907	0.5553028275800553	0.25734411348717606	0.13869594594594592	0.125	0.5	0.125	0.1875	0.5241573033707865	0.6951947065842282	0.5287037037037037	0.22782651072124757	0.4166666666666667	0.16666666666666666	0.4166666666666667	0.3	0.298715288860517	0.1326530612244898	0.298715288860517	0.1479229989868287	0.0650093110790878	0.0355656825837131	0.0650093110790878	0.0598708016024005	0.0957389627241196	0.0448632280472888	0.0957389627241196	0.1098059694684154	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	3.0	3.0	5.0	6.0	3.0	6.0	50.0	1.0	0.6666666666666666	1.0	0.8	4	3	3	0	2.0	0.1326530612244898	True	False	True	False	True	False	True	False	False	False	False	False	0.014198785895775137	0.038180784340380726	0.0039121576462663185	0.07647710723416141	0.3308385387943499	0.22873015250223236	formal_nominal_shared_selected	11.13265306122449	strict_shared_selected_only	same_symbol	3	3	4			shared_positive_both_screens	3.0307411136500573	unclassified_shared_neuronal_or_context	exploratory_context	unclassified_shared_neuronal_or_context	exploratory_context
ETV1	ETV1	ETV1	Etv1	51618934	False	False	False	False	True	True	True	False	True	True	True	False	0.125	0.19550110947788527	0.125	0.10155533186002748	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.125	0.3125	0.125	0.34375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.40647658610271903		0.19550110947788527		0.10155533186002748		0.42099348220497224		0.13869594594594592	0.125	0.3125	0.125	0.1875	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.22782651072124757	0.5	0.25	0.5	0.25	0.1263166294286626	0.16186798240135455	0.1263166294286626	0.18959951138644093	0.0555923495971127	0.06461321335206614	0.0555923495971127	0.06461321335206614	0.0411162640701946	0.08696452591476429	0.0411162640701946	0.0869645257733228	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	4	3	3	0	2.0	0.1263166294286626	False	True	True	False	False	True	True	False	False	False	False	False	0.06812576700524263	0.1151411302796435	0.04019482599822994	0.119082618738312	0.3713336945085174	0.2891907709850533	formal_nominal_shared_full_matrix	11.126316629428663	supported_shared_full_matrix_only	same_symbol	3	2	4			shared_positive_both_screens	1.6140724797352592	regional_identity_or_specificity_warning	specificity_warning_or_branch_context	regional_identity_or_specificity_warning	specificity_warning_or_branch_context
STK39	STK39	STK39	Stk39	51630463	False	False	False	False	True	True	True	False	True	True	True	False	0.125	0.19550110947788527	0.125	0.10155533186002748	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.125	0.3125	0.125	0.34375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.40647658610271903		0.19550110947788527		0.10155533186002748		0.42099348220497224		0.13869594594594592	0.125	0.3125	0.125	0.1875	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.22782651072124757	0.5	0.25	0.5	0.25	0.2471994025392083	0.1185001397819401	0.2471994025392083	0.15503328991170928	0.0992932335840893	0.0506541177270745	0.0992932335840893	0.0506541177270745	0.0795890342992139	0.11495512100686145	0.0795890342992139	0.12616834034180144	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	4	3	3	0	2.0	0.1185001397819401	False	True	True	False	False	True	True	False	False	False	False	False	0.06812576700524263	0.1151411302796435	0.04019482599822994	0.119082618738312	0.3713336945085174	0.2891907709850533	formal_nominal_shared_full_matrix	11.11850013978194	supported_shared_full_matrix_only	same_symbol	3	2	4			shared_positive_both_screens	3.126761426043063	unclassified_shared_neuronal_or_context	exploratory_context	unclassified_shared_neuronal_or_context	exploratory_context
CDK19	CDK19	CDK19	Cdk19	51617584	False	False	False	False	True	True	True	False	True	True	True	False	0.018874775675311855	0.19550110947788527	0.018874775675311855	0.10155533186002748	0.2418966820946169	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.19545135581807907	0.41942132674430754	0.25734411348717606	0.13532446808510637	0.125	0.3125	0.125	0.34375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.40647658610271903	0.018874775675311855	0.19550110947788527	0.018874775675311855	0.10155533186002748	0.19545135581807907	0.42099348220497224	0.25734411348717606	0.13869594594594592	0.125	0.3125	0.125	0.1875	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.22782651072124757	0.4166666666666667	0.25	0.4166666666666667	0.25	0.2232109751575825	0.11225138382414895	0.2232109751575825	0.15239829365190985	0.0552131290285335	0.02732196083646915	0.0552131290285335	0.0279435796913537	0.0435529784140851	0.02477761787537585	0.0435529784140851	0.03401652058963625	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	4	3	3	0	2.0	0.11225138382414895	False	True	True	False	False	True	True	False	False	False	False	False	0.013910619147611014	0.024362077113039227	0.0025545565308282194	0.07647710723416141	0.3308385387943499	0.18415045408790917	formal_nominal_shared_full_matrix	11.112251383824148	supported_shared_full_matrix_only	same_symbol	3	2	4			shared_positive_both_screens	2.9514559618489535	unclassified_shared_neuronal_or_context	exploratory_context	unclassified_shared_neuronal_or_context	exploratory_context
SV2B	SV2B	SV2B	Sv2b	51626863	False	False	False	False	True	True	True	False	True	True	True	False	0.125	0.19550110947788527	0.125	0.10155533186002748	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.125	0.3125	0.125	0.34375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.40647658610271903		0.19550110947788527		0.10155533186002748		0.42099348220497224		0.13869594594594592	0.125	0.3125	0.125	0.1875	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.22782651072124757	0.5	0.25	0.5	0.25	0.328513162773452	0.09629290363770106	0.328513162773452	0.29593645969025906	0.1486621734030282	0.0359487528615147	0.1486621734030282	0.0810972380857208	0.1158531629617515	0.03597531385458945	0.1158531629617515	0.0534637228167867	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	4	3	3	0	2.0	0.09629290363770106	False	True	True	False	False	True	True	False	False	False	False	False	0.06812576700524263	0.1151411302796435	0.04019482599822994	0.119082618738312	0.3713336945085174	0.2891907709850533	formal_nominal_shared_full_matrix	11.096292903637702	supported_shared_full_matrix_only	same_symbol	3	2	4			shared_positive_both_screens	3.182872767158301	unclassified_shared_neuronal_or_context	exploratory_context	unclassified_shared_neuronal_or_context	exploratory_context
CEP112	CEP112	CEP112	Cep112	51624955	False	False	False	False	True	False	True	True	True	False	True	True	0.018874775675311855	0.33333333333333337	0.018874775675311855	0.10399999999999998	0.2418966820946169	0.572331154684096	0.3123397435897436	0.13532446808510637	0.19545135581807907	0.5553028275800553	0.25734411348717606	0.13532446808510637	0.125	0.5	0.125	0.1875	0.9460304822565969	0.9436063218390804	0.8891423357664233	0.3199106364428945	0.018874775675311855	0.33333333333333337	0.018874775675311855	0.10399999999999998	0.19545135581807907	0.5553028275800553	0.25734411348717606	0.13869594594594592	0.125	0.5	0.125	0.1875	0.5241573033707865	0.6951947065842282	0.5287037037037037	0.22782651072124757	0.4166666666666667	0.16666666666666666	0.4166666666666667	0.3	0.2758139163740823	0.0759878419452887	0.2758139163740823	0.3163265306122449	0.08434756857500336	0.0373007601326366	0.08434756857500336	0.1059705435572288	0.10239150192342256	0.0271987320421567	0.10239150192342256	0.1884565744077211	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	3.0	3.0	5.0	6.0	3.0	6.0	50.0	1.0	0.6666666666666666	1.0	0.8	4	3	3	0	2.0	0.0759878419452887	True	False	True	False	True	False	True	False	False	False	False	False	0.014198785895775137	0.038180784340380726	0.0039121576462663185	0.07647710723416141	0.3308385387943499	0.22873015250223236	formal_nominal_shared_selected	11.075987841945288	strict_shared_selected_only	same_symbol	3	3	4			shared_positive_both_screens	3.010956360937901	unclassified_shared_neuronal_or_context	exploratory_context	unclassified_shared_neuronal_or_context	exploratory_context
RIMS2	RIMS2	RIMS2	Rims2	51624096	False	False	False	False	True	True	True	False	True	True	True	False	0.018874775675311855	0.19550110947788527	0.018874775675311855	0.10155533186002748	0.2418966820946169	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.19545135581807907	0.41942132674430754	0.25734411348717606	0.13532446808510637	0.125	0.3125	0.125	0.34375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.40647658610271903	0.018874775675311855	0.19550110947788527	0.018874775675311855	0.10155533186002748	0.19545135581807907	0.42099348220497224	0.25734411348717606	0.13869594594594592	0.125	0.3125	0.125	0.1875	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.22782651072124757	0.4166666666666667	0.25	0.4166666666666667	0.25	0.0675869773380146	0.1464865164952603	0.0675869773380146	0.19118179186568246	0.028108594202116	0.025821955620728	0.028108594202116	0.06526852956883365	0.020179564620811	0.0397556605827638	0.020179564620811	0.1212853450731828	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	4	3	3	0	2.0	0.0675869773380146	False	True	True	False	False	True	True	False	False	False	False	False	0.013910619147611014	0.024362077113039227	0.0025545565308282194	0.07647710723416141	0.3308385387943499	0.18415045408790917	formal_nominal_shared_full_matrix	11.067586977338015	supported_shared_full_matrix_only	same_symbol	3	2	4			shared_positive_both_screens	3.04751634087629	unclassified_shared_neuronal_or_context	exploratory_context	unclassified_shared_neuronal_or_context	exploratory_context
MAP3K13	MAP3K13	MAP3K13	Map3k13	51625425	False	False	False	False	True	True	True	False	True	True	True	False	0.125	0.19550110947788527	0.125	0.10155533186002748	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.125	0.3125	0.125	0.34375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.40647658610271903		0.19550110947788527		0.10155533186002748		0.42099348220497224		0.13869594594594592	0.125	0.3125	0.125	0.1875	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.22782651072124757	0.5	0.25	0.5	0.25	0.3633236152151035	0.0654119998334513	0.3633236152151035	0.12527956388034667	0.10551551152022495	0.035513161876735796	0.10551551152022495	0.05022041400680505	0.0912987549929051	0.05159122177191705	0.0912987549929051	0.0909945223252143	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	4	3	3	0	2.0	0.0654119998334513	False	True	True	False	False	True	True	False	False	False	False	False	0.06812576700524263	0.1151411302796435	0.04019482599822994	0.119082618738312	0.3713336945085174	0.2891907709850533	formal_nominal_shared_full_matrix	11.06541199983345	supported_shared_full_matrix_only	same_symbol	3	2	4			selected_figure_genome_followup	4.091144412286465	cytoskeleton_morphogenesis	mechanism_figure_candidate	cytoskeleton_morphogenesis	mechanism_followup_candidate
KIAA1328	KIAA1328	KIAA1328	AW554918	51620665	False	False	False	False	True	True	False	True	True	True	False	True	0.125	0.19550110947788527	0.5	0.25	0.3498864209994952	0.41942132674430754	0.6843398876404494	0.2808553386911596	0.3498864209994952	0.41942132674430754	0.6843398876404494	0.2808553386911596	0.125	0.3125	0.5	0.25	0.9460304822565969	0.6637414095135427	1.0	0.40647658610271903		0.19550110947788527				0.42099348220497224			0.125	0.3125			0.5241573033707865	0.5446125084976207			0.5	0.25	0.5	0.5	0.0673874880306415	0.05844124300842455	0.0673874880306415	0.6127689251784361	0.0230720293948697	0.02032139390496145	0.0205687488985691	0.2830910486840409	0.015970757341357	0.0448092286529522	0.0149188413407137	0.4073791866085243	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	0.5	3.0	4.0	1.0	2.0	6.0	4.0	1.0	47.0	1.0	0.75	1.0	1.0	4	3	3	0	2.0	0.05844124300842455	False	True	True	False	False	True	True	False	False	False	False	False	0.3849301927099795	0.1151411302796435	0.1708437319818771	0.42943843479779625	0.3713336945085174	0.39078355203823006	formal_nominal_shared_full_matrix	11.058441243008424	supported_shared_full_matrix_only	nonidentical_symbol	3	2	4			screen_specific_or_low_priority	1.5336937440153209	unclassified_shared_neuronal_or_context	not_prioritized	unclassified_shared_neuronal_or_context	not_prioritized
MTR	MTR	MTR	Mtr	51617329	False	False	False	False	True	True	True	False	True	True	True	False	0.018874775675311855	0.19550110947788527	0.018874775675311855	0.10155533186002748	0.2418966820946169	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.19545135581807907	0.41942132674430754	0.25734411348717606	0.13532446808510637	0.125	0.3125	0.125	0.34375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.40647658610271903	0.018874775675311855	0.19550110947788527	0.018874775675311855	0.10155533186002748	0.19545135581807907	0.42099348220497224	0.25734411348717606	0.13869594594594592	0.125	0.3125	0.125	0.1875	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.22782651072124757	0.4166666666666667	0.25	0.4166666666666667	0.25	0.0417331631024577	0.0406899279676895	0.0417331631024577	0.07499301090299129	0.0067094628880762	0.02520391775612315	0.0067094628880762	0.04118239927970125	0.0047577875439034	0.0609928681238832	0.0047577875439034	0.11227960936147915	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	4	3	3	0	2.0	0.0406899279676895	False	True	True	False	False	True	True	False	False	False	False	False	0.013910619147611014	0.024362077113039227	0.0025545565308282194	0.07647710723416141	0.3308385387943499	0.18415045408790917	formal_nominal_shared_full_matrix	11.040689927967689	supported_shared_full_matrix_only	same_symbol	3	2	4			screen_specific_or_low_priority	3.017637901726623	unclassified_shared_neuronal_or_context	exploratory_context	unclassified_shared_neuronal_or_context	not_prioritized
SLC17A6	SLC17A6	SLC17A6	Slc17a6	51616516	False	False	False	False	True	True	True	False	True	True	True	False	0.125	0.19550110947788527	0.125	0.10155533186002748	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.13532446808510637	0.125	0.3125	0.125	0.34375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.40647658610271903		0.19550110947788527		0.10155533186002748		0.42099348220497224		0.13869594594594592	0.125	0.3125	0.125	0.1875	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.22782651072124757	0.5	0.25	0.5	0.25	0.2285287528005974	0.10872137131844455	0.2285287528005974	0.039282715066362446	0.1513417450158157	0.05164201891088195	0.1513417450158157	0.012742919380211049	0.1332594025004554	0.057149188693990105	0.1332594025004554	0.0214657033668585	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	4	3	3	0	2.0	0.039282715066362446	False	True	True	False	False	True	True	False	False	False	False	False	0.06812576700524263	0.1151411302796435	0.04019482599822994	0.119082618738312	0.3713336945085174	0.2891907709850533	formal_nominal_shared_full_matrix	11.039282715066362	supported_shared_full_matrix_only	same_symbol	3	2	4			selected_figure_genome_followup	3.837015109424689	synaptic_wiring	mechanism_figure_candidate	synaptic_wiring	mechanism_followup_candidate
CADPS2	CADPS2	CADPS2	Cadps2	51617899	False	False	False	False	True	True	True	False	True	True	True	False	0.125	0.19550110947788527	0.125	0.18160873382456127	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.2303436911487759	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.2303436911487759	0.125	0.3125	0.125	0.65625	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.7130934203220433		0.19550110947788527		0.18160873382456127		0.42099348220497224		0.2379752619991554	0.125	0.3125	0.125	0.3125	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.3580729166666667	0.5	0.25	0.5	0.16666666666666666	0.5372636262513905	0.1737588652482269	0.5372636262513905	0.1737588652482269	0.3319301918846683	0.07640280477132995	0.3319301918846683	0.01219282269054895	0.3334146245486455	0.13284512084027517	0.3334146245486455	0.056721779444500894	0.5	0.5	0.5	0.25	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.5	4	3	3	0	1.75	0.1737588652482269	False	True	True	False	False	True	True	False	False	False	False	False	0.10863249363768578	0.1151411302796435	0.05926328192248465	0.15841419193186668	0.3713336945085174	0.2891907709850533	formal_nominal_shared_full_matrix	10.923758865248226	supported_shared_full_matrix_only	same_symbol	3	2	4			screen_specific_or_low_priority	1.548821211615007	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	unclassified_shared_neuronal_or_context	exploratory_context
ADARB2	ADARB2	ADARB2	Adarb2	51626194	False	False	False	False	True	True	True	False	True	True	True	False	0.125	0.19550110947788527	0.125	0.3475961479658555	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.37131313404431177	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.37131313404431177	0.125	0.3125	0.125	0.65625	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.7130934203220433		0.19550110947788527		0.3475961479658555		0.42099348220497224		0.380620192536814	0.125	0.3125	0.125	0.5	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.5252808988764045	0.5	0.25	0.5	0.08333333333333333	0.0360230547550432	0.19060283687943255	0.0360230547550432	0.19060283687943255	0.0074224970089608	0.07824901957004	0.0074224970089608	0.00721144106089265	0.0040249202403684	0.05631438342734445	0.0040249202403684	-0.0002867347403946747	0.5	0.5	0.5	0.25	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.5	4	3	3	0	1.75	0.0360230547550432	False	True	True	False	False	True	True	False	False	False	False	False	0.17971396529531852	0.1151411302796435	0.0900534869113122	0.24374566343811818	0.3713336945085174	0.2891907709850533	formal_nominal_shared_full_matrix	10.786023054755043	supported_shared_full_matrix_only	same_symbol	3	2	4			screen_specific_or_low_priority	1.5194613275423827	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	unclassified_shared_neuronal_or_context	not_prioritized
HECTD4	HECTD4	HECTD4	Hectd4	51633091	False	False	False	False	True	False	True	True	True	False	True	True	0.10241638234956672		0.10241638234956672	0.25	0.3498864209994952		0.3123397435897436	0.2808553386911596	0.2894404110934664		0.27819227937214014	0.2808553386911596	0.25		0.25	0.25	1.0		1.0	0.40647658610271903	0.10241638234956672		0.10241638234956672		0.2894404110934664		0.27819227937214014										0.375		0.375	0.5	0.3597292254093012		0.3597292254093012	0.76630406413838	0.08201464124505427		0.08201464124505427	0.31552121946891454	0.07717518804645146		0.07717518804645146	0.7237288225717601	0.375		0.375	0.5	0.25		0.25	0.5	2.0		2.0	2.0	3.0		3.0	47.0	1.0		1.0	1.0	3	3	3	0	1.25	0.3597292254093012	True	False	True	False	True	False	True	False	False	False	False	False	0.11944318161139124		0.06452789723536764	0.1709212635540393		0.2891907709850533	formal_nominal_shared_selected	10.609729225409302	strict_shared_selected_only	same_symbol	3	3	3			screen_specific_or_low_priority	2.308286818376986	unclassified_shared_neuronal_or_context	exploratory_context	unclassified_shared_neuronal_or_context	not_prioritized
RPS29	RPS29	RPS29	Rps29	51628690	False	False	False	False	True	True	False	False	True	True	False	False	0.018874775675311855	0.19550110947788527			0.2418966820946169	0.41942132674430754			0.19545135581807907	0.41942132674430754			0.125	0.3125			0.9460304822565969	0.6637414095135427			0.018874775675311855	0.19550110947788527			0.19545135581807907	0.42099348220497224			0.125	0.3125			0.5241573033707865	0.5446125084976207			0.4166666666666667	0.25			0.98404085541015	0.992871616731799			0.013275039384900052	0.0311145128987963			0.2676486402625984	0.32020437418995495			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	2	2	0	1.0	0.98404085541015	False	True	True	False	False	True	True	False	False	False	False	False		0.024362077113039227	0.024362077113039227		0.3308385387943499	0.2541862873319358	formal_nominal_shared_full_matrix	7.98404085541015	supported_shared_full_matrix_only	same_symbol	2	1	2			shared_positive_both_screens	0.5958721924062358			metabolic_or_housekeeping_support	supporting_context_not_core_executor
