dataset	sample	source_group	specificity_role	mechanism_axis	mechanism_axis_label	n_present_axis_genes	n_cells	median_axis_score	mean_axis_score	within_sample_axis_rank
GSE122357	P8b	Interneuron	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	828	1.3729094203295422	1.3975335627402132	0.625
GSE122357	P8b	Astrocytes	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	512	1.0142169024875058	1.0771346913419704	0.125
GSE122357	P8b	Purkinje cells	purkinje_comparator	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	78	1.8172723947098164	1.7319484559653204	1.0
GSE122357	P8b	Oligodendrocytes	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	238	1.3301230346237278	1.3589482019702688	0.5
GSE122357	P8b	Microglia	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	123	1.1891218759073945	1.2544393692688447	0.25
GSE122357	P8b	Endothelial cells	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	18	1.2700712666330656	1.2585945459430659	0.375
GSE122357	P8b	Granule precursor	cerebellar_granule	axon_guidance_adhesion	Axon guidance/adhesion	4	4309	0.17328679513998632	0.24837125316663805	0.75
GSE122357	P8b	Granule cells	cerebellar_granule	axon_guidance_adhesion	Axon guidance/adhesion	4	1883	0.17328679513998632	0.17780265244240323	0.75
GSE122357	P8b	Interneuron	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	828	0.17328679513998632	0.1643221063318351	0.75
GSE122357	P8b	Astrocytes	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	512	0.0	0.06182863648335712	0.3125
GSE122357	P8b	Purkinje cells	purkinje_comparator	axon_guidance_adhesion	Axon guidance/adhesion	4	78	0.5345832648770069	0.5251471783605653	1.0
GSE122357	P8b	Oligodendrocytes	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	238	0.0	0.10037010077915338	0.3125
GSE122357	P8b	Microglia	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	123	0.0	0.04439209696001515	0.3125
GSE122357	P8b	Endothelial cells	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	18	0.0	0.028881132523331052	0.3125
GSE122357	P8b	Granule precursor	cerebellar_granule	synaptic_excitability_maturation	Synaptic/excitability	12	4309	0.17328679513998632	0.17841293196255772	0.75
GSE122357	P8b	Granule cells	cerebellar_granule	synaptic_excitability_maturation	Synaptic/excitability	12	1883	0.2648378191956621	0.2817246899516182	0.875
GSE122357	P8b	Interneuron	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	828	0.057762265046662105	0.08016561613267711	0.25
GSE122357	P8b	Astrocytes	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	512	0.09155102405567582	0.11233417098160506	0.5
GSE122357	P8b	Purkinje cells	purkinje_comparator	synaptic_excitability_maturation	Synaptic/excitability	12	78	0.28881132523331055	0.27986501886162074	1.0
GSE122357	P8b	Oligodendrocytes	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	238	0.13411982603617503	0.150967736836364	0.625
GSE122357	P8b	Microglia	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	123	0.057762265046662105	0.09693970253769263	0.25
GSE122357	P8b	Endothelial cells	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	18	0.057762265046662105	0.12243556430701642	0.25
