dataset	sample	source_group	specificity_role	mechanism_axis	mechanism_axis_label	n_present_axis_genes	n_cells	median_axis_score	mean_axis_score	within_sample_axis_rank
GSE104323	10X_all_cells	VLMC	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	160	0.7269809850703726	0.788820599285869	0.4166666666666667
GSE104323	10X_all_cells	MOL	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	704	0.47678316815281946	0.5286710853296216	0.16666666666666666
GSE104323	10X_all_cells	NFOL	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	232	0.8553271651641685	0.8944522422952572	0.5833333333333334
GSE104323	10X_all_cells	OPC	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	794	0.5422503724042952	0.6148256565712188	0.3333333333333333
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	468	1.0736361098450646	1.0990350663608999	0.7916666666666666
GSE104323	10X_all_cells	nIPC	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	353	1.0262172292933966	1.053085613908491	0.75
GSE104323	10X_all_cells	Neuroblast	dentate_granule	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	1381	0.9616709913562408	0.9650053777146088	0.7083333333333334
GSE104323	10X_all_cells	Immature-GC	dentate_granule	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	2419	1.280373662617128	1.2693463442667607	0.8333333333333334
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	4520	1.7891069720045851	1.8551886122668495	1.0
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	535	1.4101824628212893	1.3476519274444494	0.9166666666666666
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	1024	1.6559017120785144	1.68177407114747	0.9583333333333334
GSE104323	10X_all_cells	GABA	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	209	0.8964942328649174	0.9545122513161288	0.625
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	532	1.3951285723814966	1.3814483456084403	0.875
GSE104323	10X_all_cells	GC-juv	dentate_granule	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	3420	0.7543150158867291	0.8018860252924631	0.5
GSE104323	10X_all_cells	GC-adult	dentate_granule	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	2613	0.5110607487036671	0.5314563743491187	0.25
GSE104323	10X_all_cells	RGL	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	199	0.0	0.01981468105035596	0.3958333333333333
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	1232	0.0	0.009365498990475762	0.3958333333333333
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	821	0.0	0.0213019942860583	0.3958333333333333
GSE104323	10X_all_cells	Immature-Astro	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	651	0.0	0.04838572920833065	0.3958333333333333
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	686	0.0	0.036422932969995214	0.3958333333333333
GSE104323	10X_all_cells	Ependymal	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	182	0.0	0.02816858975871783	0.3958333333333333
GSE104323	10X_all_cells	PVM	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	79	0.0	0.008774014943796775	0.3958333333333333
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	428	0.0	0.009785815052041513	0.3958333333333333
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	543	0.0	0.06367082116875583	0.3958333333333333
GSE104323	10X_all_cells	VLMC	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	160	0.0	0.016879176275792725	0.3958333333333333
GSE104323	10X_all_cells	MOL	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	704	0.0	0.0312235298042738	0.3958333333333333
GSE104323	10X_all_cells	NFOL	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	232	0.0	0.0642332545307818	0.3958333333333333
GSE104323	10X_all_cells	OPC	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	794	0.0	0.03699471745012591	0.3958333333333333
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	468	0.0	0.03505714055302371	0.3958333333333333
GSE104323	10X_all_cells	nIPC	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	353	0.0	0.12786746398366303	0.3958333333333333
GSE104323	10X_all_cells	Neuroblast	dentate_granule	axon_guidance_adhesion	Axon guidance/adhesion	4	1381	0.0	0.09205740218882287	0.3958333333333333
GSE104323	10X_all_cells	Immature-GC	dentate_granule	axon_guidance_adhesion	Axon guidance/adhesion	4	2419	0.0	0.08171127007086759	0.3958333333333333
