concordance_class	comparator	feature_type	model_term_supported	n_contrasts	mean_broad_delta	mean_cluster_supported_delta	mean_shift_strict_minus_broad	max_robust_rank_score
robust_negative	oligodendrocyte_candidate	Gene Expression	NicheSignal	1	-0.1419000591883668	-0.1314693512169869	0.010430707971379877	-0.1419000591883668
robust_negative	oligodendrocyte_candidate	Peaks	NicheSignal	1	-0.2680239803489472	-0.1492468681701039	0.11877711217884329	-0.2680239803489472
robust_negative	purkinje_candidate	Gene Expression	EpigenomicCompatibility	1	-0.4035202443742474	-0.2097529061614138	0.1937673382128336	-0.4035202443742474
robust_positive	astrocyte_bergmann_candidate	Peaks	ConstructionBalance	28	0.17834897360634197	0.34836198508543953	0.1700130114790976	0.2448312648667508
robust_positive	oligodendrocyte_candidate	Peaks	EpigenomicCompatibility	27	0.15594618865603085	0.30983794454032254	0.15389175588429171	0.2160217956496439
robust_positive	astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	23	0.16484727213445455	0.3213077846279818	0.15646051249352727	0.2155326170324682
robust_positive	astrocyte_bergmann_candidate	Peaks	FatePolarity	22	0.17450396987245634	0.34202831901873404	0.1675243491462777	0.2492891052923015
robust_positive	oligodendrocyte_candidate	Peaks	ConstructionBalance	22	0.1500786952802075	0.33077641557017917	0.18069772028997166	0.2292432648128704
robust_positive	oligodendrocyte_candidate	Peaks	FatePolarity	16	0.15852985991752352	0.3412616954158139	0.18273183549829042	0.2333599337946736
robust_positive	astrocyte_bergmann_candidate	Peaks	NicheSignal	11	0.1908030053043964	0.4011216541031221	0.21031864879872575	0.2357965714415619
robust_positive	oligodendrocyte_candidate	Peaks	NicheSignal	6	0.14540319366801152	0.3277129625540026	0.18230976888599107	0.1787741044528551
robust_positive	oligodendrocyte_candidate	Gene Expression	FatePolarity	3	0.14287555203473148	0.34155608910123236	0.1986805370665009	0.2142612756822385
robust_positive	oligodendrocyte_candidate	Gene Expression	NicheSignal	3	0.17767489767182518	0.44955706859494793	0.2718821709231227	0.1878246323808179
robust_positive	astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	1	0.2137433559884892	0.6440452566309923	0.4303019006425031	0.2137433559884892
robust_positive	oligodendrocyte_candidate	Gene Expression	EpigenomicCompatibility	1	0.1573754282538397	0.3039540498230546	0.14657862156921486	0.1573754282538397
robust_positive	astrocyte_bergmann_candidate	Gene Expression	FatePolarity	1	0.1511840248567061	0.4370393401532808	0.2858553152965747	0.1511840248567061
robust_positive	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	1	0.1417712497302275	0.3106435620849708	0.1688723123547433	0.1417712497302275
robust_positive	astrocyte_bergmann_candidate	Gene Expression	NicheSignal	1	0.1417712497302275	0.3106435620849708	0.1688723123547433	0.1417712497302275
robust_positive_strong	astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	18	0.47710221045837553	0.82579519512316	0.3486929846647845	1.037628986875718
robust_positive_strong	oligodendrocyte_candidate	Peaks	EpigenomicCompatibility	13	0.46925278996636455	0.8217002995912466	0.3524475096248821	0.9456528307360298
robust_positive_strong	oligodendrocyte_candidate	Gene Expression	EpigenomicCompatibility	10	0.8477363022659608	1.4171146386272604	0.5693783363612995	1.2070715264060368
robust_positive_strong	astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	9	0.6850131710531813	1.3120820256745651	0.6270688546213838	1.1249653121028893
robust_positive_strong	oligodendrocyte_candidate	Gene Expression	ConstructionBalance	8	0.78081485857246	1.4528309729101552	0.672016114337695	1.200265518150297
robust_positive_strong	astrocyte_bergmann_candidate	Peaks	ConstructionBalance	8	0.36428985844049266	0.6710765672411373	0.3067867088006446	0.5035823449350957
robust_positive_strong	astrocyte_bergmann_candidate	Peaks	FatePolarity	7	0.4418934650939227	0.7876270900219325	0.3457336249280098	1.037628986875718
robust_positive_strong	astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	7	0.6239428198728435	1.325098457523374	0.7011556376505304	0.9614376970437408
robust_positive_strong	oligodendrocyte_candidate	Peaks	FatePolarity	4	0.5161463342406468	0.8718391295263361	0.3556927952856894	0.9456528307360298
robust_positive_strong	astrocyte_bergmann_candidate	Peaks	NicheSignal	4	0.5150897608613705	0.8944144021542393	0.3793246412928688	0.8985741601542487
robust_positive_strong	oligodendrocyte_candidate	Peaks	NicheSignal	3	0.4351316353605512	0.8085566042927074	0.3734249689321561	0.797546619755594
robust_positive_strong	oligodendrocyte_candidate	Peaks	ConstructionBalance	3	0.3047776682998904	0.619086850388331	0.31430918208844055	0.4131594252968347
robust_positive_strong	oligodendrocyte_candidate	Gene Expression	FatePolarity	2	0.648015110993936	1.0136852485755858	0.3656701375816497	0.8906385476818731
robust_positive_strong	astrocyte_bergmann_candidate	Gene Expression	FatePolarity	1	0.8459014280807174	1.3727578877129063	0.5268564596321889	0.8459014280807174
weak_or_neutral	purkinje_candidate	Peaks	ConstructionBalance	25	0.003347630311041936	0.07052980524853084	0.0671821749374889	0.0197501424872189
weak_or_neutral	purkinje_candidate	Peaks	EpigenomicCompatibility	20	0.005663509294456021	0.07020963653373659	0.06454612723928058	0.0529566642524841
