dataset	sample	branch	source_group	human_gene	mouse_gene	source_gene_symbol	n_cells	median_log1p_expression	mean_log1p_expression	detection_fraction	within_sample_gene_rank	focus_state	state_order	state_bin	state_bin_label	state_label
GSE104323	10X_all_cells	dentate	MOL	NEUROD1	Neurod1	Neurod1	704	0.0	0.022236794148333752	0.029829545454545456	0.4583333333333333	False		other	other	MOL
GSE104323	10X_all_cells	dentate	NFOL	NEUROD1	Neurod1	Neurod1	232	0.0	0.026889330280342707	0.03879310344827586	0.4583333333333333	False		other	other	NFOL
GSE104323	10X_all_cells	dentate	OPC	NEUROD1	Neurod1	Neurod1	794	0.0	0.06064709425086145	0.05289672544080604	0.4583333333333333	False		other	other	OPC
GSE104323	10X_all_cells	dentate	nIPC-perin	NEUROD1	Neurod1	Neurod1	468	0.0	0.06272878832353514	0.05982905982905983	0.4583333333333333	True	3.0	progenitor	early/progenitor	nIPC-perin
GSE104323	10X_all_cells	dentate	nIPC	NEUROD1	Neurod1	Neurod1	353	0.0	0.5316901361814823	0.42492917847025496	0.4583333333333333	True	2.0	progenitor	early/progenitor	nIPC
GSE104323	10X_all_cells	dentate	Neuroblast	NEUROD1	Neurod1	Neurod1	1381	1.3862943611198906	1.2071531978101042	0.779869659666908	1.0	True	4.0	immature	postmitotic/immature	Neuroblast
GSE104323	10X_all_cells	dentate	Immature-GC	NEUROD1	Neurod1	Neurod1	2419	1.0986122886681098	1.114769559955887	0.8338156262918561	0.9583333333333334	True	5.0	immature	postmitotic/immature	Immature-GC
GSE104323	10X_all_cells	dentate	Immature-Pyr	NEUROD1	Neurod1	Neurod1	4520	0.6931471805599453	0.6886132800863166	0.5763274336283186	0.9166666666666666	False		other	other	Immature-Pyr
GSE104323	10X_all_cells	dentate	Cajal-Retzius	NEUROD1	Neurod1	Neurod1	535	0.0	0.18555933014989173	0.16261682242990655	0.4583333333333333	False		other	other	Cajal-Retzius
GSE104323	10X_all_cells	dentate	Immature-GABA	NEUROD1	Neurod1	Neurod1	1024	0.0	0.08520624209667776	0.0810546875	0.4583333333333333	False		other	other	Immature-GABA
GSE104323	10X_all_cells	dentate	GABA	NEUROD1	Neurod1	Neurod1	209	0.0	0.016582468434448452	0.023923444976076555	0.4583333333333333	False		other	other	GABA
GSE104323	10X_all_cells	dentate	CA3-Pyr	NEUROD1	Neurod1	Neurod1	532	0.0	0.21789016865380997	0.2575187969924812	0.4583333333333333	False		other	other	CA3-Pyr
GSE104323	10X_all_cells	dentate	GC-juv	NEUROD1	Neurod1	Neurod1	3420	0.0	0.20642440876878015	0.2596491228070175	0.4583333333333333	True	6.0	mature	maturing/mature	GC-juv
GSE104323	10X_all_cells	dentate	GC-adult	NEUROD1	Neurod1	Neurod1	2613	0.0	0.11660375601719104	0.1580558744737849	0.4583333333333333	True	7.0	mature	maturing/mature	GC-adult
GSE104323	10X_all_cells	dentate	RGL	RBFOX3	Rbfox3	Rbfox3	199	0.0	0.022936423072702695	0.03015075376884422	0.4166666666666667	True	1.0	progenitor	early/progenitor	RGL
GSE104323	10X_all_cells	dentate	Astro-adult	RBFOX3	Rbfox3	Rbfox3	1232	0.0	0.012144120048593356	0.017045454545454544	0.4166666666666667	False		other	other	Astro-adult
GSE104323	10X_all_cells	dentate	Astro-juv	RBFOX3	Rbfox3	Rbfox3	821	0.0	0.016535032324905146	0.023142509135200974	0.4166666666666667	False		other	other	Astro-juv
GSE104323	10X_all_cells	dentate	Immature-Astro	RBFOX3	Rbfox3	Rbfox3	651	0.0	0.048251061197453406	0.05837173579109063	0.4166666666666667	False		other	other	Immature-Astro
GSE104323	10X_all_cells	dentate	RGL_young	RBFOX3	Rbfox3	Rbfox3	686	0.0	0.04909279633872498	0.056851311953352766	0.4166666666666667	True	0.0	progenitor	early/progenitor	RGL_young
GSE104323	10X_all_cells	dentate	Ependymal	RBFOX3	Rbfox3	Rbfox3	182	0.0	0.04570201190505133	0.054945054945054944	0.4166666666666667	False		other	other	Ependymal
GSE104323	10X_all_cells	dentate	PVM	RBFOX3	Rbfox3	Rbfox3	79	0.0	0.0350960597751871	0.05063291139240506	0.4166666666666667	False		other	other	PVM
GSE104323	10X_all_cells	dentate	MiCajal-Retziusoglia	RBFOX3	Rbfox3	Rbfox3	428	0.0	0.029426243658260277	0.0397196261682243	0.4166666666666667	False		other	other	MiCajal-Retziusoglia
GSE104323	10X_all_cells	dentate	Endothelial	RBFOX3	Rbfox3	Rbfox3	543	0.0	0.03819944643767836	0.04788213627992634	0.4166666666666667	False		other	other	Endothelial
GSE104323	10X_all_cells	dentate	VLMC	RBFOX3	Rbfox3	Rbfox3	160	0.0	0.06278116946756143	0.075	0.4166666666666667	False		other	other	VLMC
GSE104323	10X_all_cells	dentate	MOL	RBFOX3	Rbfox3	Rbfox3	704	0.0	0.04397327495350081	0.05113636363636364	0.4166666666666667	False		other	other	MOL
GSE104323	10X_all_cells	dentate	NFOL	RBFOX3	Rbfox3	Rbfox3	232	0.0	0.02390162691586018	0.034482758620689655	0.4166666666666667	False		other	other	NFOL
GSE104323	10X_all_cells	dentate	OPC	RBFOX3	Rbfox3	Rbfox3	794	0.0	0.03921852282627018	0.04534005037783375	0.4166666666666667	False		other	other	OPC
GSE104323	10X_all_cells	dentate	nIPC-perin	RBFOX3	Rbfox3	Rbfox3	468	0.0	0.08542846460372311	0.10897435897435898	0.4166666666666667	True	3.0	progenitor	early/progenitor	nIPC-perin
GSE104323	10X_all_cells	dentate	nIPC	RBFOX3	Rbfox3	Rbfox3	353	0.0	0.41900837839093996	0.45325779036827196	0.4166666666666667	True	2.0	progenitor	early/progenitor	nIPC
GSE104323	10X_all_cells	dentate	Neuroblast	RBFOX3	Rbfox3	Rbfox3	1381	0.6931471805599453	0.4551450813647567	0.5097755249818972	0.9166666666666666	True	4.0	immature	postmitotic/immature	Neuroblast
GSE104323	10X_all_cells	dentate	Immature-GC	RBFOX3	Rbfox3	Rbfox3	2419	0.6931471805599453	0.48505480715739635	0.5150888797023564	0.9166666666666666	True	5.0	immature	postmitotic/immature	Immature-GC
GSE104323	10X_all_cells	dentate	Immature-Pyr	RBFOX3	Rbfox3	Rbfox3	4520	0.0	0.42529020570522447	0.43473451327433627	0.4166666666666667	False		other	other	Immature-Pyr
GSE104323	10X_all_cells	dentate	Cajal-Retzius	RBFOX3	Rbfox3	Rbfox3	535	0.0	0.1183654402535442	0.14205607476635515	0.4166666666666667	False		other	other	Cajal-Retzius
GSE104323	10X_all_cells	dentate	Immature-GABA	RBFOX3	Rbfox3	Rbfox3	1024	0.6931471805599453	0.48711065956388166	0.5166015625	0.9166666666666666	False		other	other	Immature-GABA
GSE104323	10X_all_cells	dentate	GABA	RBFOX3	Rbfox3	Rbfox3	209	0.0	0.4883442650392917	0.48325358851674644	0.4166666666666667	False		other	other	GABA
GSE104323	10X_all_cells	dentate	CA3-Pyr	RBFOX3	Rbfox3	Rbfox3	532	0.6931471805599453	0.8617959646030012	0.6917293233082706	0.9166666666666666	False		other	other	CA3-Pyr
GSE104323	10X_all_cells	dentate	GC-juv	RBFOX3	Rbfox3	Rbfox3	3420	0.6931471805599453	0.6048458625634593	0.6216374269005848	0.9166666666666666	True	6.0	mature	maturing/mature	GC-juv
GSE104323	10X_all_cells	dentate	GC-adult	RBFOX3	Rbfox3	Rbfox3	2613	0.0	0.4190377158314706	0.4936854190585534	0.4166666666666667	True	7.0	mature	maturing/mature	GC-adult
GSE104323	10X_all_cells	dentate	RGL	HMGN2	Hmgn2	Hmgn2	199	0.6931471805599453	0.7203573133114715	0.5527638190954773	0.6041666666666666	True	1.0	progenitor	early/progenitor	RGL
GSE104323	10X_all_cells	dentate	Astro-adult	HMGN2	Hmgn2	Hmgn2	1232	0.0	0.1526215272256967	0.19642857142857142	0.1875	False		other	other	Astro-adult
GSE104323	10X_all_cells	dentate	Astro-juv	HMGN2	Hmgn2	Hmgn2	821	0.0	0.15831059730214217	0.2143727161997564	0.1875	False		other	other	Astro-juv
GSE104323	10X_all_cells	dentate	Immature-Astro	HMGN2	Hmgn2	Hmgn2	651	0.6931471805599453	0.5671162461891617	0.5729646697388633	0.6041666666666666	False		other	other	Immature-Astro
GSE104323	10X_all_cells	dentate	RGL_young	HMGN2	Hmgn2	Hmgn2	686	1.0986122886681098	1.2572482631379513	0.8425655976676385	0.875	True	0.0	progenitor	early/progenitor	RGL_young
GSE104323	10X_all_cells	dentate	Ependymal	HMGN2	Hmgn2	Hmgn2	182	0.6931471805599453	0.8702231817974799	0.7087912087912088	0.6041666666666666	False		other	other	Ependymal
GSE104323	10X_all_cells	dentate	PVM	HMGN2	Hmgn2	Hmgn2	79	0.0	0.44153963408469965	0.46835443037974683	0.1875	False		other	other	PVM
GSE104323	10X_all_cells	dentate	MiCajal-Retziusoglia	HMGN2	Hmgn2	Hmgn2	428	0.0	0.41025160440629777	0.40654205607476634	0.1875	False		other	other	MiCajal-Retziusoglia
GSE104323	10X_all_cells	dentate	Endothelial	HMGN2	Hmgn2	Hmgn2	543	0.0	0.37037381294228444	0.3775322283609576	0.1875	False		other	other	Endothelial
GSE104323	10X_all_cells	dentate	VLMC	HMGN2	Hmgn2	Hmgn2	160	0.6931471805599453	0.6267510005852068	0.5875	0.6041666666666666	False		other	other	VLMC
GSE104323	10X_all_cells	dentate	MOL	HMGN2	Hmgn2	Hmgn2	704	0.6931471805599453	0.7456975039492011	0.7116477272727273	0.6041666666666666	False		other	other	MOL
GSE104323	10X_all_cells	dentate	NFOL	HMGN2	Hmgn2	Hmgn2	232	0.6931471805599453	0.5401887184740318	0.5775862068965517	0.6041666666666666	False		other	other	NFOL
GSE104323	10X_all_cells	dentate	OPC	HMGN2	Hmgn2	Hmgn2	794	0.6931471805599453	0.6351313154327934	0.5654911838790933	0.6041666666666666	False		other	other	OPC
GSE104323	10X_all_cells	dentate	nIPC-perin	HMGN2	Hmgn2	Hmgn2	468	2.3978952727983707	2.374361434863435	0.9935897435897436	0.9583333333333334	True	3.0	progenitor	early/progenitor	nIPC-perin
GSE104323	10X_all_cells	dentate	nIPC	HMGN2	Hmgn2	Hmgn2	353	3.044522437723423	3.086537135722035	0.9971671388101983	1.0	True	2.0	progenitor	early/progenitor	nIPC
GSE104323	10X_all_cells	dentate	Neuroblast	HMGN2	Hmgn2	Hmgn2	1381	1.3862943611198906	1.472846383787309	0.8450398262128892	0.9166666666666666	True	4.0	immature	postmitotic/immature	Neuroblast
GSE104323	10X_all_cells	dentate	Immature-GC	HMGN2	Hmgn2	Hmgn2	2419	0.6931471805599453	0.7107515118837513	0.7164117403885903	0.6041666666666666	True	5.0	immature	postmitotic/immature	Immature-GC
GSE104323	10X_all_cells	dentate	Immature-Pyr	HMGN2	Hmgn2	Hmgn2	4520	0.6931471805599453	0.8560478193203308	0.7601769911504425	0.6041666666666666	False		other	other	Immature-Pyr
GSE104323	10X_all_cells	dentate	Cajal-Retzius	HMGN2	Hmgn2	Hmgn2	535	0.6931471805599453	0.6062616897304594	0.5644859813084112	0.6041666666666666	False		other	other	Cajal-Retzius
GSE104323	10X_all_cells	dentate	Immature-GABA	HMGN2	Hmgn2	Hmgn2	1024	0.6931471805599453	0.7410255514186063	0.6982421875	0.6041666666666666	False		other	other	Immature-GABA
GSE104323	10X_all_cells	dentate	GABA	HMGN2	Hmgn2	Hmgn2	209	0.0	0.36288508028825556	0.430622009569378	0.1875	False		other	other	GABA
GSE104323	10X_all_cells	dentate	CA3-Pyr	HMGN2	Hmgn2	Hmgn2	532	0.0	0.35587299815498824	0.40977443609022557	0.1875	False		other	other	CA3-Pyr
GSE104323	10X_all_cells	dentate	GC-juv	HMGN2	Hmgn2	Hmgn2	3420	0.6931471805599453	0.47061354404243	0.5274853801169591	0.6041666666666666	True	6.0	mature	maturing/mature	GC-juv
GSE104323	10X_all_cells	dentate	GC-adult	HMGN2	Hmgn2	Hmgn2	2613	0.0	0.3389087557114199	0.41408342900880213	0.1875	True	7.0	mature	maturing/mature	GC-adult
GSE122357	P0	cerebellar	Granule precursor	NFIA	Nfia	Nfia	2553	1.3862943611198906	1.4889780783285054	0.9314531923227576	1.0	True	0.0	immature	early/precursor	P0 Granule precursor
GSE122357	P0	cerebellar	Granule cells	NFIA	Nfia	Nfia	2814	1.0986122886681098	0.9955762321686907	0.7910447761194029	0.6875	True	0.2	immature	early/precursor	P0 Granule cells
GSE122357	P0	cerebellar	Interneuron	NFIA	Nfia	Nfia	418	1.0986122886681098	1.0729647339852497	0.8325358851674641	0.6875	False		other	other	Interneuron
GSE122357	P0	cerebellar	Microglia	NFIA	Nfia	Nfia	112	0.0	0.23062406920439044	0.26785714285714285	0.1875	False		other	other	Microglia
GSE122357	P0	cerebellar	Astrocytes	NFIA	Nfia	Nfia	1230	1.0986122886681098	0.948679318879039	0.7634146341463415	0.6875	False		other	other	Astrocytes
GSE122357	P0	cerebellar	Oligodendrocytes	NFIA	Nfia	Nfia	44	0.6931471805599453	0.5278910469419851	0.5681818181818182	0.375	False		other	other	Oligodendrocytes
GSE122357	P0	cerebellar	Purkinje cells	NFIA	Nfia	Nfia	92	0.0	0.19559548185838782	0.16304347826086957	0.1875	False		other	other	Purkinje cells
