dataset	sample	branch	source_group	human_gene	mouse_gene	source_gene_symbol	n_cells	median_log1p_expression	mean_log1p_expression	detection_fraction	within_sample_gene_rank	focus_state	state_order	state_bin	state_bin_label	state_label
GSE122357	P8a	cerebellar	Granule precursor	NEUROD1	Neurod1	Neurod1	3254	1.9459101490553132	1.8252913365222971	0.9333128457283344	0.875	True	8.1	immature	early/precursor	P8a Granule precursor
GSE122357	P8a	cerebellar	Purkinje cells	NEUROD1	Neurod1	Neurod1	86	0.0	0.3324425808503832	0.36046511627906974	0.375	False		other	other	Purkinje cells
GSE122357	P8a	cerebellar	Microglia	NEUROD1	Neurod1	Neurod1	102	0.0	0.26929150135144636	0.24509803921568626	0.375	False		other	other	Microglia
GSE122357	P8a	cerebellar	Interneuron	NEUROD1	Neurod1	Neurod1	570	0.6931471805599453	0.7700678549626766	0.6771929824561403	0.75	False		other	other	Interneuron
GSE122357	P8a	cerebellar	Oligodendrocytes	NEUROD1	Neurod1	Neurod1	173	0.0	0.41984594810383286	0.37572254335260113	0.375	False		other	other	Oligodendrocytes
GSE122357	P8a	cerebellar	Astrocytes	NEUROD1	Neurod1	Neurod1	292	0.0	0.2782325765815102	0.2568493150684932	0.375	False		other	other	Astrocytes
GSE122357	P8a	cerebellar	Endothelial cells	NEUROD1	Neurod1	Neurod1	8	0.0	0.17328679513998632	0.25	0.375	False		other	other	Endothelial cells
GSE122357	P8a	cerebellar	Granule cells	RBFOX3	Rbfox3	Rbfox3	1367	0.6931471805599453	0.8041150694135937	0.7410387710314558	0.9375	True	8.299999999999999	mature	maturing/mature	P8a Granule cells
GSE122357	P8a	cerebellar	Granule precursor	RBFOX3	Rbfox3	Rbfox3	3254	0.6931471805599453	0.646290383116541	0.6158574062692072	0.9375	True	8.1	immature	early/precursor	P8a Granule precursor
GSE122357	P8a	cerebellar	Purkinje cells	RBFOX3	Rbfox3	Rbfox3	86	0.0	0.1417321764840376	0.18604651162790697	0.4375	False		other	other	Purkinje cells
GSE122357	P8a	cerebellar	Microglia	RBFOX3	Rbfox3	Rbfox3	102	0.0	0.05436448474979963	0.0784313725490196	0.4375	False		other	other	Microglia
GSE122357	P8a	cerebellar	Interneuron	RBFOX3	Rbfox3	Rbfox3	570	0.0	0.26526352907767886	0.30350877192982456	0.4375	False		other	other	Interneuron
GSE122357	P8a	cerebellar	Oligodendrocytes	RBFOX3	Rbfox3	Rbfox3	173	0.0	0.1087688355711374	0.12138728323699421	0.4375	False		other	other	Oligodendrocytes
GSE122357	P8a	cerebellar	Astrocytes	RBFOX3	Rbfox3	Rbfox3	292	0.0	0.06686953455936592	0.08904109589041095	0.4375	False		other	other	Astrocytes
GSE122357	P8a	cerebellar	Endothelial cells	RBFOX3	Rbfox3	Rbfox3	8	0.0	0.08664339756999316	0.125	0.4375	False		other	other	Endothelial cells
GSE122357	P8a	cerebellar	Granule cells	HMGN2	Hmgn2	Hmgn2	1367	1.0986122886681098	1.3693836574141525	0.811265544989027	0.25	True	8.299999999999999	mature	maturing/mature	P8a Granule cells
GSE122357	P8a	cerebellar	Granule precursor	HMGN2	Hmgn2	Hmgn2	3254	3.091042453358316	3.040015952253516	0.9960049170251998	1.0	True	8.1	immature	early/precursor	P8a Granule precursor
GSE122357	P8a	cerebellar	Purkinje cells	HMGN2	Hmgn2	Hmgn2	86	0.6931471805599453	0.8523588591849282	0.7093023255813954	0.125	False		other	other	Purkinje cells
GSE122357	P8a	cerebellar	Microglia	HMGN2	Hmgn2	Hmgn2	102	1.791759469228055	1.8051134271719236	0.8823529411764706	0.75	False		other	other	Microglia
GSE122357	P8a	cerebellar	Interneuron	HMGN2	Hmgn2	Hmgn2	570	1.3862943611198906	1.711963935752076	0.8508771929824561	0.4375	False		other	other	Interneuron
GSE122357	P8a	cerebellar	Oligodendrocytes	HMGN2	Hmgn2	Hmgn2	173	1.9459101490553132	2.0382310155098673	0.9710982658959537	0.875	False		other	other	Oligodendrocytes
GSE122357	P8a	cerebellar	Astrocytes	HMGN2	Hmgn2	Hmgn2	292	1.3862943611198906	1.3647156999664942	0.8664383561643836	0.4375	False		other	other	Astrocytes
GSE122357	P8a	cerebellar	Endothelial cells	HMGN2	Hmgn2	Hmgn2	8	1.4978661367769954	1.6668290013207794	1.0	0.625	False		other	other	Endothelial cells
GSE122357	P8b	cerebellar	Granule precursor	NFIA	Nfia	Nfia	4309	1.6094379124341003	1.6071780432114122	0.9508006498027385	1.0	True	8.2	immature	early/precursor	P8b Granule precursor
GSE122357	P8b	cerebellar	Granule cells	NFIA	Nfia	Nfia	1883	1.3862943611198906	1.2651197096234217	0.8948486457780138	0.8125	True	8.399999999999999	mature	maturing/mature	P8b Granule cells
GSE122357	P8b	cerebellar	Interneuron	NFIA	Nfia	Nfia	828	1.0986122886681098	1.242531830039738	0.8490338164251208	0.625	False		other	other	Interneuron
GSE122357	P8b	cerebellar	Astrocytes	NFIA	Nfia	Nfia	512	1.3862943611198906	1.2778982422569007	0.861328125	0.8125	False		other	other	Astrocytes
GSE122357	P8b	cerebellar	Purkinje cells	NFIA	Nfia	Nfia	78	0.0	0.3251268220723845	0.3333333333333333	0.25	False		other	other	Purkinje cells
GSE122357	P8b	cerebellar	Oligodendrocytes	NFIA	Nfia	Nfia	238	0.6931471805599453	0.6461863974075777	0.5798319327731093	0.5	False		other	other	Oligodendrocytes
GSE122357	P8b	cerebellar	Microglia	NFIA	Nfia	Nfia	123	0.0	0.4108625203470411	0.3902439024390244	0.25	False		other	other	Microglia
GSE122357	P8b	cerebellar	Endothelial cells	NFIA	Nfia	Nfia	18	0.0	0.3655139562227834	0.3888888888888889	0.25	False		other	other	Endothelial cells
GSE122357	P8b	cerebellar	Granule precursor	NEUROD1	Neurod1	Neurod1	4309	1.3862943611198906	1.4531299153839485	0.8663262938036668	0.875	True	8.2	immature	early/precursor	P8b Granule precursor
GSE122357	P8b	cerebellar	Granule cells	NEUROD1	Neurod1	Neurod1	1883	2.3978952727983707	2.3730506655205983	0.9952203929899097	1.0	True	8.399999999999999	mature	maturing/mature	P8b Granule cells
GSE122357	P8b	cerebellar	Interneuron	NEUROD1	Neurod1	Neurod1	828	0.6931471805599453	0.5862228971997904	0.5471014492753623	0.75	False		other	other	Interneuron
GSE122357	P8b	cerebellar	Astrocytes	NEUROD1	Neurod1	Neurod1	512	0.0	0.2924152260878996	0.271484375	0.375	False		other	other	Astrocytes
GSE122357	P8b	cerebellar	Purkinje cells	NEUROD1	Neurod1	Neurod1	78	0.0	0.24815391095563405	0.3076923076923077	0.375	False		other	other	Purkinje cells
GSE122357	P8b	cerebellar	Oligodendrocytes	NEUROD1	Neurod1	Neurod1	238	0.0	0.24122265317981983	0.23529411764705882	0.375	False		other	other	Oligodendrocytes
GSE122357	P8b	cerebellar	Microglia	NEUROD1	Neurod1	Neurod1	123	0.0	0.4154908721727492	0.35772357723577236	0.375	False		other	other	Microglia
GSE122357	P8b	cerebellar	Endothelial cells	NEUROD1	Neurod1	Neurod1	18	0.0	0.513693301032892	0.4444444444444444	0.375	False		other	other	Endothelial cells
GSE122357	P8b	cerebellar	Granule precursor	RBFOX3	Rbfox3	Rbfox3	4309	0.6931471805599453	0.6068651740793488	0.6006033882571362	0.9375	True	8.2	immature	early/precursor	P8b Granule precursor
GSE122357	P8b	cerebellar	Granule cells	RBFOX3	Rbfox3	Rbfox3	1883	0.6931471805599453	0.7919584238277325	0.7307488050982475	0.9375	True	8.399999999999999	mature	maturing/mature	P8b Granule cells
GSE122357	P8b	cerebellar	Interneuron	RBFOX3	Rbfox3	Rbfox3	828	0.0	0.2263025662673894	0.2693236714975845	0.4375	False		other	other	Interneuron
GSE122357	P8b	cerebellar	Astrocytes	RBFOX3	Rbfox3	Rbfox3	512	0.0	0.10728668618709115	0.11328125	0.4375	False		other	other	Astrocytes
GSE122357	P8b	cerebellar	Purkinje cells	RBFOX3	Rbfox3	Rbfox3	78	0.0	0.22435521877145936	0.23076923076923078	0.4375	False		other	other	Purkinje cells
GSE122357	P8b	cerebellar	Oligodendrocytes	RBFOX3	Rbfox3	Rbfox3	238	0.0	0.10961935691754965	0.12605042016806722	0.4375	False		other	other	Oligodendrocytes
GSE122357	P8b	cerebellar	Microglia	RBFOX3	Rbfox3	Rbfox3	123	0.0	0.15502701611453393	0.16260162601626016	0.4375	False		other	other	Microglia
GSE122357	P8b	cerebellar	Endothelial cells	RBFOX3	Rbfox3	Rbfox3	18	0.0	0.09954219273489194	0.1111111111111111	0.4375	False		other	other	Endothelial cells
GSE122357	P8b	cerebellar	Granule precursor	HMGN2	Hmgn2	Hmgn2	4309	2.995732273553991	2.8852602537030774	0.9972151311209098	1.0	True	8.2	immature	early/precursor	P8b Granule precursor
GSE122357	P8b	cerebellar	Granule cells	HMGN2	Hmgn2	Hmgn2	1883	1.0986122886681098	1.2585425651612183	0.7950079660116834	0.1875	True	8.399999999999999	mature	maturing/mature	P8b Granule cells
GSE122357	P8b	cerebellar	Interneuron	HMGN2	Hmgn2	Hmgn2	828	1.4978661367769954	1.6860408005568015	0.8586956521739131	0.625	False		other	other	Interneuron
GSE122357	P8b	cerebellar	Astrocytes	HMGN2	Hmgn2	Hmgn2	512	1.3862943611198906	1.4035514250557788	0.87890625	0.5	False		other	other	Astrocytes
GSE122357	P8b	cerebellar	Purkinje cells	HMGN2	Hmgn2	Hmgn2	78	1.0986122886681098	0.9490819247095854	0.7564102564102564	0.1875	False		other	other	Purkinje cells
GSE122357	P8b	cerebellar	Oligodendrocytes	HMGN2	Hmgn2	Hmgn2	238	1.9459101490553132	1.8905570727200536	0.9621848739495799	0.875	False		other	other	Oligodendrocytes
GSE122357	P8b	cerebellar	Microglia	HMGN2	Hmgn2	Hmgn2	123	1.6094379124341003	1.5578318652694698	0.8699186991869918	0.75	False		other	other	Microglia
GSE122357	P8b	cerebellar	Endothelial cells	HMGN2	Hmgn2	Hmgn2	18	1.2424533248940002	1.1780240292632136	0.7777777777777778	0.375	False		other	other	Endothelial cells
