contrast_id	contrast_label	source_gene_symbol	canonical_mouse_symbol	human_symbol	mouse_symbol	mgi_one_to_one_human_mouse	dentate_granule_vs_pyramidal_log1p_delta	dentate_granule_detection_fraction	dentate_pyramidal_detection_fraction	cerebellar_granule_vs_purkinje_median_log1p_delta	cerebellar_granule_vs_purkinje_min_log1p_delta	cerebellar_positive_sample_count	cerebellar_samples_positive	cerebellar_granule_median_detection_fraction	cerebellar_purkinje_median_detection_fraction	shared_positive_named_comparator	strong_shared_named_comparator	specificity_score	combined_log1p_delta
granule_lineage	Granule lineage	Nfia	NFIA	NFIA	Nfia	True	0.490414626505863	0.7428206643797035	0.5690980770510347	1.4978661367769954	1.2424533248940002	3	P0,P8a,P8b	0.9228246477903761	0.32558139534883723	True	True	0.640414626505863	1.9882807632828583
granule_lineage	Granule lineage	Hmgn2	HMGN2	HMGN2	Hmgn2	True	0.34657359027997264	0.6219485602527748	0.584975713620334	1.4016801904532676	0.9485599924429404	3	P0,P8a,P8b	0.8961115485662966	0.7093023255813954	True	True	0.49657359027997267	1.7482537807332403
granule_lineage	Granule lineage	Rbfox3	RBFOX3	RBFOX3	Rbfox3	True	0.34657359027997264	0.5124322023421268	0.5632319182913035	0.6931471805599453	0.34657359027997264	3	P0,P8a,P8b	0.6656760966776918	0.1956521739130435	True	True	0.49657359027997267	1.0397207708399179
granule_lineage	Granule lineage	Gm8730	GM8730		Gm8730	False	0.22091637613951942	0.7256978376473913	0.6353366824139995	0.3465735902799726	0.3465735902799726	3	P0,P8a,P8b	0.8178620067631577	0.5232558139534884	True	True	0.37091637613951944	0.567489966419492
granule_lineage	Granule lineage	Neurod1	NEUROD1	NEUROD1	Neurod1	True	0.20273255405408225	0.5197593912369628	0.41692311531039994	1.8920948169591307	1.6479184330021646	3	P0,P8a,P8b	0.9307733433967882	0.3076923076923077	True	True	0.35273255405408227	2.094827371013213
granule_lineage	Granule lineage	H3f3b	H3F3B		H3f3b	False	0.04350568849481462	0.9841500281639748	0.9242589327300552	1.1865217783213033	0.5979703163143362	3	P0,P8a,P8b	1.0	0.9767441860465116	True	False	0.19350568849481464	1.230027466816118
granule_lineage	Granule lineage	Rps24	RPS24	RPS24	Rps24	True	0.012658903992145198	0.9605807576104911	0.9077283917759	0.8291140383017663	0.3647574123654098	3	P0,P8a,P8b	0.9910053147415769	0.9302325581395349	True	False	0.16265890399214522	0.8417729422939115
granule_lineage	Granule lineage	Rpl8	RPL8	RPL8	Rpl8	True	0.012658903992145198	0.9499941226231232	0.9122621265553263	0.6982233662919548	0.5058004558392404	3	P0,P8a,P8b	0.9941582580987786	0.9302325581395349	True	False	0.16265890399214522	0.7108822702841
granule_lineage	Granule lineage	Rps4x	RPS4X	RPS4X	Rps4x	True	0.00970904292855046	0.957985375301402	0.9087239669971389	1.0294111272385502	0.7888446070597603	3	P0,P8a,P8b	0.9960169941582582	0.8953488372093024	True	False	0.15970904292855048	1.0391201701671007
granule_lineage	Granule lineage	Rpl9	RPL9		Rpl9	False	4.440892098500626e-16	0.9879060511985182	0.95654567835518	0.4995891958399614	0.3647574123654098	3	P0,P8a,P8b	0.9969202273809422	0.9358974358974359	True	False	0.15000000000000047	0.49958919583996186
postmitotic_granule	Postmitotic/granule-cell state	Rbfox3	RBFOX3	RBFOX3	Rbfox3	True	0.34657359027997264	0.5150888797023564	0.5632319182913035	0.6931471805599453	0.6931471805599453	3	P0,P8a,P8b	0.7307488050982475	0.1956521739130435	True	True	0.49657359027997267	1.0397207708399179
postmitotic_granule	Postmitotic/granule-cell state	Nfia	NFIA	NFIA	Nfia	True	0.1438410362258904	0.5786549707602339	0.5690980770510347	1.3862943611198906	1.0986122886681098	3	P0,P8a,P8b	0.8948486457780138	0.32558139534883723	True	True	0.2938410362258904	1.530135397345781
postmitotic_granule	Postmitotic/granule-cell state	Hmgn2	HMGN2	HMGN2	Hmgn2	True	0.34657359027997264	0.5274853801169591	0.584975713620334	0.4054651081081645	0.0	2	P0,P8a	0.7950079660116834	0.7093023255813954	True	False	0.4465735902799727	0.7520386983881371
