dataset	region	axis_type	comparison_group	transition_id	transition_label	metric_type	metric_id	metric_label	start_label	end_label	start_score	end_score	delta_end_minus_start	direction
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	rgl_to_gc_adult	RGL_young to GC-adult	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	RGL_young	GC-adult	0.7916666666666666	0.25	-0.5416666666666666	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	rgl_to_gc_adult	RGL_young to GC-adult	signature	stop_minus_permissive_index	Stop minus permissive balance	RGL_young	GC-adult	-0.19166666666666665	-0.024999999999999994	0.16666666666666666	increased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	rgl_to_gc_adult	RGL_young to GC-adult	signature	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	RGL_young	GC-adult	0.5625	0.28125	-0.28125	decreased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8a_cerebellum	P0 to P8a cerebellar candidates	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	P0	P8a	0.3333333333333333	1.0	0.6666666666666667	increased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8a_cerebellum	P0 to P8a cerebellar candidates	pathway	notch_hes	Notch/HES	P0	P8a	0.8333333333333333	0.5	-0.33333333333333326	decreased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8a_cerebellum	P0 to P8a cerebellar candidates	pathway	shh_granule_expansion	SHH/PTCH/GLI	P0	P8a	0.3333333333333333	0.6666666666666666	0.3333333333333333	increased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8a_cerebellum	P0 to P8a cerebellar candidates	pathway	tgf_beta_smad	TGF-beta/SMAD	P0	P8a	0.3333333333333333	0.6666666666666666	0.3333333333333333	increased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8a_cerebellum	P0 to P8a cerebellar candidates	signature	differentiation_stop_index	Differentiation/stop signaling	P0	P8a	0.5333333333333333	0.8666666666666666	0.33333333333333326	increased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8a_cerebellum	P0 to P8a cerebellar candidates	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	P0	P8a	0.9444444444444443	0.5555555555555555	-0.38888888888888884	decreased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8a_cerebellum	P0 to P8a cerebellar candidates	signature	stop_minus_permissive_index	Stop minus permissive balance	P0	P8a	-0.411111111111111	0.3111111111111111	0.7222222222222221	increased
