dataset	source_scope	axis_type	axis_label	candidate_call	broad_class	branch	stage_bin	stage_evidence_tier	strict_stage_call	stage_call_reason	n_cells	median_pseudotime	mean_pseudotime	median_immature_progenitor_state	median_neuronal_differentiation_maturation	median_downstream_neurite_morphology	median_downstream_synaptic_excitability	median_shared_neurogenic_niche_state	median_cerebellar_fate_rhombic_lip_shh	median_dentate_fate_wnt_prox1	median_tgf_smad_pai1_response	median_bdnf_erk_response	median_secreted_stop_candidate_axis
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN-cl4	adult_human_dg_differentiating_anchor	dentate_candidate	dentate	immature	strict_source_label	True	human differentiating-neuron source label	854	5.396531e-07	5.396531e-07	0.2763125	0.28262502	0.1664375	0.1434375	0.1475625	0.497	0.1833125	0.2094375	0.2135625	0.1051875
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN_OTOF	adult_dg_background_warning	dentate_candidate	dentate	immature	strict_source_label	True	human differentiating-neuron source label	33	0.52238744	0.50918424	0.2763125	0.194375	0.2015	0.1115	0.90375	0.497	0.177875	0.2094375	0.35075	0.1051875
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN_OTOF	adult_human_dg_differentiating_anchor	dentate_candidate	dentate	immature	strict_source_label	True	human differentiating-neuron source label	641	5.396531e-07	5.396531e-07	0.2763125	0.390375	0.179875	0.22	0.481	0.497	0.490125	0.2094375	0.285125	0.1051875
GSE104323	full_transcriptome_raw_matrix	adult_dentate_lineage_state	GC-adult	candidate_dentate_granule	dentate_candidate	dentate	mature	strict_explicit_label	True	dentate juvenile/adult GC label	1000	0.5141024	0.49773663	0.2313125	0.5911875	0.41875	0.5935	0.1229375	0.3094375	0.30975002	0.3914375	0.41756248	0.4771875
GSE104323	full_transcriptome_raw_matrix	adult_dentate_lineage_state	GC-juv	candidate_dentate_granule	dentate_candidate	dentate	mature	strict_explicit_label	True	dentate juvenile/adult GC label	3294	0.4122554	0.43090045	0.301125	0.757375	0.5703125	0.7598125	0.2804375	0.3094375	0.50975	0.3756875	0.57718754	0.51825
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	mature_1hr	candidate_dentate_granule	dentate_candidate	dentate	mature	strict_explicit_label	True	dentate mature activity-state label	18	0.5525502	0.54652095	0.49088544	0.546875	0.5677084	0.5078125	0.40625	0.5911459	0.6640625	0.5234375	0.55078125	0.4375
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	mature_4hr	candidate_dentate_granule	dentate_candidate	dentate	mature	strict_explicit_label	True	dentate mature activity-state label	24	0.53048575	0.5403965	0.5	0.50130206	0.5130209	0.49869794	0.45963544	0.5013021	0.4557292	0.3802083	0.48958334	0.51953125
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	matureactive_1hr	candidate_dentate_granule	dentate_candidate	dentate	mature	strict_explicit_label	True	dentate mature activity-state label	9	0.5587672	0.5748248	0.7630208	0.515625	0.41927084	0.43229166	0.234375	0.6145833	0.42708334	0.7265625	0.8723958	0.5963542
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	matureactive_4hr	candidate_dentate_granule	dentate_candidate	dentate	mature	strict_explicit_label	True	dentate mature activity-state label	18	0.59651035	0.6045857	0.5911459	0.47395834	0.4270833	0.58984375	0.60807294	0.64192706	0.3932292	0.6575521	0.66796875	0.6315104
GSE268609	selected_feature_bridge_2169_genes	human_hippocampus_DG_projected_intrinsic_state	human_dg_like_candidate	human_dg_like_candidate	dentate_candidate_or_hippocampal_neuronal	dentate	mature	supporting_projected_label	False	human projected DG-like candidate	1989	0.35297433	0.34138668	0.3931875	0.55425	0.540625	0.544625	0.517875	0.3770625	0.522375	0.308125	0.544375	0.548375
GSE268609	selected_feature_bridge_2169_genes	human_hippocampus_DG_projected_intrinsic_state	human_dg_like_high_confidence	human_dg_like_high_confidence	dentate_candidate_or_hippocampal_neuronal	dentate	mature	supporting_projected_label	False	human projected DG-like candidate	1485	0.3784986	0.3580864	0.3931875	0.52475	0.567875	0.538	0.662125	0.3770625	0.636	0.628375	0.61225	0.5625
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P15	candidate_dentate_granule	dentate_candidate	dentate	mature	strict_developmental_age	True	dentate late postnatal maturation window	49	0.62359685	0.63579196	0.46732673	0.6950495	0.4178218	0.7821782	0.4178218	0.32277226	0.550495	0.52079207	0.6950495	0.570297
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P28	candidate_dentate_granule	dentate_candidate	dentate	mature	strict_developmental_age	True	dentate late postnatal maturation window	7	0.5744002	0.5993872	0.16633664	0.55445546	0.16039604	0.33663365	0.3108911	0.32277226	0.34257427	0.40792078	0.5346535	0.28316832
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	MatN_OTOF	adult_human_dg_mature_anchor	dentate_candidate	dentate	mature	strict_source_label	True	human mature-neuron source label	623	0.5293734	0.5005597	0.7893125	0.597	0.535875	0.649	0.569125	0.497	0.82975	0.43425	0.563	0.386
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	dentate_candidate	dentate	mature	strict_source_label	True	human mature-neuron source label	1008	0.3875326	0.3995446	0.2763125	0.62356246	0.6964375	0.63006246	0.49965626	0.497	0.453	0.66809374	0.6508125	0.712625
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	dentate_candidate	dentate	mature	strict_source_label	True	human mature-neuron source label	2845	0.3327541	0.33635148	0.2763125	0.4695	0.603125	0.601125	0.470375	0.497	0.575	0.573125	0.5735	0.61225
GSE122357	full_transcriptome_raw_matrix	postnatal_cerebellar_age	P0	candidate_cerebellar_granule	cerebellar_candidate	cerebellar	immature	strict_developmental_age	True	cerebellar early postnatal candidate stage	2678	3.8349725e-07	3.8349725e-07	0.5894375	0.63743746	0.6425625	0.55525005	0.50706255	0.600875	0.509375	0.42624998	0.5295625	0.550875
GSE122357	full_transcriptome_raw_matrix	postnatal_cerebellar_age	P8a	candidate_cerebellar_granule	cerebellar_candidate	cerebellar	mature	strict_developmental_age	True	cerebellar later postnatal maturing stage	1454	0.34498182	0.3478462	0.460375	0.4819375	0.4805625	0.5736875	0.456375	0.50425	0.4858125	0.563625	0.50312495	0.54237497
GSE122357	full_transcriptome_raw_matrix	postnatal_cerebellar_age	P8b	candidate_cerebellar_granule	cerebellar_candidate	cerebellar	mature	strict_developmental_age	True	cerebellar later postnatal maturing stage	2697	0.2904448	0.32172415	0.44575	0.415	0.40675	0.4705	0.461125	0.5615	0.423875	0.515375	0.46175	0.48875
