architecture	rationale	n_replicates	expansion_ratio	input_degree	output_active_fraction_parameter	observed_output_active_fraction	median_separation_gain	median_near_pair_separation_gain	median_distance_spearman_correlation	median_collapse_rate	median_output_entropy_bits	median_information_retention_score	median_useful_pattern_separation_score	median_relative_wiring_cost	median_relative_active_output_load	median_relative_wiring_activity_cost	median_resource_adjusted_useful_score
dense_expansion_high_activity	expansion without sparse input sampling or sparse output	8	8.0	32.0	0.2	0.19921875	0.9836065562841529	1.039947796014639	0.7800818900132687	0.0	0.7014631162873775	0.5471978771173117	0.2842839031707113	256.0	1.59375	51.0	0.005574194179708572
cerebellar_granule_like	large expansion, very sparse mossy-fiber sampling, sparse output	8	16.0	4.0	0.05	0.0498046875	1.0888888876790124	1.1718749985351562	0.7153174108749165	0.0	0.269891301891598	0.19243424453807512	0.22852929603279856	64.0	0.796875	3.1875	0.07169546539956176
balanced_granule_like	generic sparse expansion code	8	8.0	4.0	0.05	0.05078125	1.0864579737988596	1.1609786757493818	0.6240264802688134	0.0	0.274964370469331	0.17107736141921498	0.19775358617049438	32.0	0.40625	1.625	0.12169451449156914
pyramidal_integrator_like	low expansion, broad input integration, moderate activity	8	1.0	32.0	0.2	0.203125	0.9610983971070697	1.0106951859172697	0.45596507045902823	0.0	0.7107105515379752	0.3236627087408057	0.16410458223335772	32.0	0.203125	6.5	0.025246858801247822
dentate_granule_like	large expansion, sparse entorhinal input sampling, sparse output	8	8.0	8.0	0.03	0.029296875	1.1052631566731301	1.191865604187419	0.49247111732003596	0.0	0.17878702950763992	0.08804506407813512	0.08071343628160627	64.0	0.234375	1.875	0.043047165993898184
purkinje_integrator_like	convergent integrator-like architecture	8	0.5	32.0	0.4	0.53515625	0.7016746403746323	0.70728184771014	0.3717693344509663	0.0	0.9795354475314404	0.3651891427678608	0.07800668631060773	16.0	0.267578125	8.5625	0.009059091763093288
excessive_sparsity	tests information collapse when sparse coding is too severe	8	16.0	4.0	0.005	0.0048828125	1.1052631566731301	1.2499999984374999	0.2777522121013146	0.0	0.037232662250083454	0.01033123812795724	0.00405683302950721	64.0	0.078125	0.3125	0.012981865652881102
