comparator	feature_type	model_term_supported	target_set	peak_category	broad_n_donors	broad_mean_delta_score	broad_median_delta_score	broad_mean_delta_detection	broad_median_delta_detection	cluster_supported_n_donors	cluster_supported_mean_delta_score	cluster_supported_median_delta_score	cluster_supported_mean_delta_detection	cluster_supported_median_delta_detection	delta_shift_strict_minus_broad	detection_shift_strict_minus_broad	concordance_class	robust_rank_score	robust_detection_score
oligodendrocyte_candidate	Gene Expression	EpigenomicCompatibility	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	3.0	1.2070715264060368	1.0209246864438972	0.4418213677352096	0.3761415525114155	3.0	2.008349020080512	1.9417728852022116	0.7010187646222668	0.7043908472479902	0.8012774936744751	0.2591973968870572	robust_positive_strong	1.2070715264060368	0.4418213677352096
oligodendrocyte_candidate	Gene Expression	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	3.0	1.200265518150297	1.2378739241411196	0.3923399959788105	0.442490328513445	3.0	2.088903785789881	2.2593945120677685	0.5225900055531337	0.5927643784786643	0.8886382676395839	0.13025000957432326	robust_positive_strong	1.200265518150297	0.3923399959788105
oligodendrocyte_candidate	Gene Expression	ConstructionBalance	shared_postmitotic_granule_maturation	gene_expression_or_marker	3.0	1.1549888798437726	1.2577106930874464	0.4016956938127716	0.4671660958904109	3.0	1.85823441641957	2.048916645439657	0.5102861193188848	0.6048855905998762	0.7032455365757975	0.1085904255061132	robust_positive_strong	1.1549888798437726	0.4016956938127716
astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	3.0	1.1249653121028893	1.068518724085192	0.423457050897196	0.3918424165782818	3.0	2.117784432010844	1.984871180440006	0.7447240935577528	0.7261468690040119	0.9928191199079546	0.32126704266055683	robust_positive_strong	1.1249653121028893	0.423457050897196
oligodendrocyte_candidate	Gene Expression	ConstructionBalance	downstream_synaptic_excitability	gene_expression_or_marker	3.0	1.115941603515465	1.1993564442255895	0.3672739453880214	0.4192173230593607	3.0	1.8704738367845664	2.1017529899953726	0.4761509496312149	0.5725881261595547	0.7545322332691013	0.10887700424319352	robust_positive_strong	1.115941603515465	0.3672739453880214
astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_body_overlap	3.0	1.037628986875718	1.0994716722229947	0.3368586115126293	0.319484372696447	3.0	1.702638616418972	1.693834471673861	0.4967150793573028	0.5216742974755324	0.6650096295432539	0.1598564678446735	robust_positive_strong	1.037628986875718	0.3368586115126293
astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	medial_pallium_dentate_lineage	gene_body_overlap	3.0	1.037628986875718	1.0994716722229947	0.3368586115126293	0.319484372696447	3.0	1.702638616418972	1.693834471673861	0.4967150793573028	0.5216742974755324	0.6650096295432539	0.1598564678446735	robust_positive_strong	1.037628986875718	0.3368586115126293
astrocyte_bergmann_candidate	Peaks	FatePolarity	shared_postmitotic_granule_maturation	gene_body_overlap	3.0	1.037628986875718	1.0994716722229947	0.3368586115126293	0.319484372696447	3.0	1.702638616418972	1.693834471673861	0.4967150793573028	0.5216742974755324	0.6650096295432539	0.1598564678446735	robust_positive_strong	1.037628986875718	0.3368586115126293
astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	3.0	0.9614376970437408	1.0092324420082264	0.2590273180275479	0.2715138071184967	3.0	1.8165981374585771	1.8663790838755216	0.4053370667644463	0.3983739837398373	0.8551604404148363	0.1463097487368984	robust_positive_strong	0.9614376970437408	0.2590273180275479
oligodendrocyte_candidate	Peaks	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_body_overlap	3.0	0.9456528307360298	1.118853100294967	0.325637017194878	0.3566638127853881	3.0	1.4659710769835126	1.684941821844514	0.4502088540450097	0.4338280766852195	0.5203182462474828	0.12457183685013173	robust_positive_strong	0.9456528307360298	0.325637017194878
