summary_level	n_contrasts	n_positive	fraction_positive	median_delta	mean_delta	sign_test_p	wilcoxon_p	branch_kind	expression_layer	pathway_id	pair_id
by_id_and_branch	6	4	0.6666666666666666	0.41666666666666663	0.3055555555555556	0.34375	0.078125	cerebellar		reelin_migration_stop	LR019
by_id_and_branch	6	5	0.8333333333333334	0.3333333333333333	0.3055555555555555	0.109375	0.046875	cerebellar		semaphorin_guidance	LR020
by_id_and_branch	6	2	0.3333333333333333	-0.16666666666666669	-0.05555555555555557	0.890625	0.953125	cerebellar		semaphorin_guidance	LR021
by_id_and_branch	12	2	0.16666666666666666	-0.25	-0.19444444444444442	0.996826171875	0.9765625	cerebellar		semaphorin_guidance	LR022
by_id_and_branch	6	6	1.0	0.5	0.4444444444444444	0.015625	0.015625	cerebellar		semaphorin_guidance	LR023
by_id_and_branch	3	1	0.3333333333333333	-0.16666666666666669	-0.16666666666666666	0.875	0.875	cerebellar		wnt_beta_catenin	LR007
by_id_and_branch	2	1	0.5	0.33333333333333337	0.33333333333333337	0.75	0.5	dentate		tgf_beta_smad	LR001
by_id_and_branch	2	0	0.0	-0.25	-0.25	1.0	1.0	dentate		tgf_beta_smad	LR002
by_id_and_branch	1	0	0.0	-0.5	-0.5	1.0		dentate		tgf_beta_smad	LR003
by_id_and_branch	51	48	0.9411764705882353	0.5	0.3856209150326797	9.837464176598587e-12	2.0027230762193755e-10	dentate		bdnf_trkb_mapk	LR004
by_id_and_branch	1	0	0.0	-0.5	-0.5	1.0		dentate		shh_granule_expansion	LR005
by_id_and_branch	1	0	0.0	-0.5	-0.5	1.0		dentate		shh_granule_expansion	LR006
by_id_and_branch	1	0	0.0	0.0	0.0	1.0		dentate		wnt_beta_catenin	LR007
by_id_and_branch	2	0	0.0	-0.25	-0.25	1.0	1.0	dentate		wnt_beta_catenin	LR008
by_id_and_branch	2	0	0.0	-0.25	-0.25	1.0	1.0	dentate		wnt_beta_catenin	LR009
by_id_and_branch	1	0	0.0	-0.5	-0.5	1.0		dentate		fgf_mapk	LR010
by_id_and_branch	1	0	0.0	-0.5	-0.5	1.0		dentate		fgf_mapk	LR011
by_id_and_branch	2	0	0.0	0.0	0.0	1.0		dentate		fgf_mapk	LR012
by_id_and_branch	2	0	0.0	-0.5833333333333334	-0.5833333333333334	1.0	1.0	dentate		bmp_smad	LR013
by_id_and_branch	2	0	0.0	-0.25	-0.25	1.0	1.0	dentate		bmp_smad	LR014
by_id_and_branch	2	0	0.0	-0.41666666666666663	-0.41666666666666663	1.0	1.0	dentate		notch_hes	LR015
by_id_and_branch	2	0	0.0	-0.25	-0.25	1.0	1.0	dentate		notch_hes	LR016
by_id_and_branch	2	0	0.0	-0.25	-0.25	1.0	1.0	dentate		notch_hes	LR017
by_id_and_branch	2	1	0.5	-0.08333333333333334	-0.08333333333333334	0.75	0.75	dentate		reelin_migration_stop	LR018
by_id_and_branch	2	1	0.5	-0.08333333333333334	-0.08333333333333334	0.75	0.75	dentate		reelin_migration_stop	LR019
by_id_and_branch	2	0	0.0	-0.25	-0.25	1.0	1.0	dentate		semaphorin_guidance	LR020
by_id_and_branch	2	0	0.0	0.0	0.0	1.0		dentate		semaphorin_guidance	LR021
by_id_and_branch	51	43	0.8431372549019608	0.16666666666666663	0.27777777777777773	3.433558868337627e-07	2.0148663118156233e-07	dentate		semaphorin_guidance	LR022
by_id_and_branch	2	1	0.5	0.33333333333333337	0.33333333333333337	0.75	0.5	dentate		semaphorin_guidance	LR023
by_id_layer_branch	6	2	0.3333333333333333	-0.08333333333333334	0.05555555555555553	0.890625	0.46875	cerebellar	full_mgi_ortholog_matrix	tgf_beta_smad	LR001
by_id_layer_branch	6	0	0.0	-0.16666666666666669	-0.22222222222222224	1.0	1.0	cerebellar	full_mgi_ortholog_matrix	tgf_beta_smad	LR002
by_id_layer_branch	6	0	0.0	-0.41666666666666663	-0.4166666666666666	1.0	1.0	cerebellar	full_mgi_ortholog_matrix	tgf_beta_smad	LR003
by_id_layer_branch	6	3	0.5	0.08333333333333331	0.05555555555555555	0.65625	0.40625	cerebellar	full_mgi_ortholog_matrix	bdnf_trkb_mapk	LR004
by_id_layer_branch	6	3	0.5	-2.7755575615628914e-17	0.027777777777777752	0.65625	0.65625	cerebellar	full_mgi_ortholog_matrix	shh_granule_expansion	LR005
by_id_layer_branch	6	2	0.3333333333333333	-0.08333333333333334	-9.25185853854297e-18	0.890625	0.5	cerebellar	full_mgi_ortholog_matrix	shh_granule_expansion	LR006
by_id_layer_branch	6	1	0.16666666666666666	-0.16666666666666669	-0.11111111111111112	0.984375	0.984375	cerebellar	full_mgi_ortholog_matrix	wnt_beta_catenin	LR008
by_id_layer_branch	6	0	0.0	-0.16666666666666669	-0.13888888888888892	1.0	1.0	cerebellar	full_mgi_ortholog_matrix	wnt_beta_catenin	LR009
by_id_layer_branch	6	0	0.0	-0.08333333333333334	-0.13888888888888887	1.0	1.0	cerebellar	full_mgi_ortholog_matrix	fgf_mapk	LR010
